"search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"bread white background",1,"White Background Stock Photo ...","https://www.123rf.com/photo_95326378_piece-of-white-bread-on-white-background.html","https://previews.123rf.com/images/panda3800/panda38001802/panda3800180200143/95326378-piece-of-white-bread-on-white-background.jpg",1299,1300,
"bread white background",2,"Fresh Bread Rolls Isolated On White ...","https://www.123rf.com/photo_55009704_fresh-bread-rolls-isolated-on-white-background.html","https://previews.123rf.com/images/bwylezich/bwylezich1604/bwylezich160400013/55009704-fresh-bread-rolls-isolated-on-white-background.jpg",1300,866,
"bread white background",3,"White Background Stock Photo ...","https://www.istockphoto.com/photo/slice-of-white-bread-on-a-white-background-gm621139344-108418589","https://media.istockphoto.com/photos/slice-of-white-bread-on-a-white-background-picture-id621139344",939,1024,
"bread white background",4,"white background. Stock Photo by chones","https://photodune.net/item/one-slice-of-bread-isolated-on-white-background/24077560","https://s3.envato.com/files/267065626/bread%20toast.jpg",590,560,
"bread white background",5,"Bread White Background Stock Photos ...","https://www.shutterstock.com/search/bread+white+background?section=1&image_type=photo&search_source=base_related_searches&language=en","https://image.shutterstock.com/image-photo/white-sliced-bread-on-background-260nw-630815099.jpg",390,280,
"bread white background",6,"Bread On White Background Stock Photo ...","https://www.123rf.com/photo_43660604_slice-of-bread-on-white-background.html","https://previews.123rf.com/images/sripfoto/sripfoto1508/sripfoto150800004/43660604-slice-of-bread-on-white-background.jpg",1300,1300,
"bread white background",7,"Bread White Background Images, Stock ...","https://www.shutterstock.com/search/bread+white+background","https://image.shutterstock.com/image-photo/long-loaf-whole-wheat-breads-260nw-652122904.jpg",390,280,
"bread white background",8,"bread slices on white background Stock ...","https://photodune.net/item/bread-slices-on-white-background/22894318","https://s3.envato.com/files/256781929/42640.jpg",590,578,
"bread white background",9,"Sliced bread loaf on a white background ...","https://www.colourbox.com/image/sliced-bread-loaf-on-a-white-background-image-2591631","https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX2591631.jpg",800,533,
"bread white background",10,"Fresh Sliced Bread On White Background ...","https://www.dreamstime.com/royalty-free-stock-photo-fresh-sliced-bread-white-background-image4798485","https://thumbs.dreamstime.com/z/fresh-sliced-bread-white-background-4798485.jpg",1300,1078,
"bread white background",11,"Baked Bread Png Transparent Background ...","https://www.pngitem.com/middle/JoRTbm_baked-bread-png-transparent-background-bread-white-background/","https://www.pngitem.com/pimgs/m/110-1109035_baked-bread-png-transparent-background-bread-white-background.png",860,672,
"bread white background",12,"Square Plain Bread On White Background ...","https://www.istockphoto.com/photo/square-plain-bread-on-white-background-top-view-gm1140722995-305355703","https://media.istockphoto.com/photos/square-plain-bread-on-white-background-top-view-picture-id1140722995",1024,768,
"bread white background",13,"white background Royalty Free Vector","https://www.vectorstock.com/royalty-free-vector/bread-loaf-isolated-on-white-background-vector-9924629","https://cdn5.vectorstock.com/i/1000x1000/46/29/bread-loaf-isolated-on-white-background-vector-9924629.jpg",967,1080,
"bread white background",14,"multi grain bread studio isolated ...","https://www.alamy.com/stock-photo-image-of-a-multi-grain-bread-studio-isolated-on-white-background-31520591.html","https://c8.alamy.com/comp/BR7TRB/image-of-a-multi-grain-bread-studio-isolated-on-white-background-BR7TRB.jpg",1300,960,
"bread white background",15,"Loaf of bread on a white background ...","https://depositphotos.com/9713268/stock-photo-loaf-of-bread-on-a.html","https://static8.depositphotos.com/1471119/971/i/950/depositphotos_9713268-stock-photo-loaf-of-bread-on-a.jpg",1024,1024,
"bread white background",16,"Whole Grain Bread Loaf On A White ...","https://www.dreamstime.com/royalty-free-stock-photos-whole-grain-bread-loaf-white-background-image12273458","https://thumbs.dreamstime.com/z/whole-grain-bread-loaf-white-background-12273458.jpg",1300,1093,
