"search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"cabbage white background stock",1,"White Background Stock Photo ...","https://www.123rf.com/photo_11903322_cabbage-isolated-on-white-background.html","https://previews.123rf.com/images/atoss/atoss1201/atoss120100011/11903322-cabbage-isolated-on-white-background.jpg",1300,1300,
"cabbage white background stock",2,"White Background Stock Image ...","https://www.shutterstock.com/image-photo/green-cabbage-isolated-on-white-background-416638354","https://image.shutterstock.com/image-photo/green-cabbage-isolated-on-white-600w-416638354.jpg",600,469,
"cabbage white background stock",3,"White Background Stock Photo ...","https://www.123rf.com/photo_49938410_green-cabbage-isolated-on-white-background.html","https://previews.123rf.com/images/onairjiw/onairjiw1601/onairjiw160100147/49938410-green-cabbage-isolated-on-white-background.jpg",1300,1237,
"cabbage white background stock",4,"Green Cabbage White Background Stock ...","https://www.istockphoto.com/photo/green-cabbage-white-background-gm914842472-251781139","https://media.istockphoto.com/photos/green-cabbage-white-background-picture-id914842472",1024,690,
"cabbage white background stock",5,"White Background Stock Photo ...","https://www.istockphoto.com/photo/cabbage-isolated-on-white-background-gm936397024-256159652","https://media.istockphoto.com/photos/cabbage-isolated-on-white-background-picture-id936397024",1024,768,
"cabbage white background stock",6,"Cut cabbage on white background ...","https://depositphotos.com/159553416/stock-photo-cut-cabbage-on-white-background.html","https://st3.depositphotos.com/11700927/15955/i/1600/depositphotos_159553416-stock-photo-cut-cabbage-on-white-background.jpg",1600,1405,
"cabbage white background stock",7,"White Background Stock Photo ...","https://www.123rf.com/photo_48852570_cabbage-isolated-on-white-background.html","https://previews.123rf.com/images/showcake/showcake1512/showcake151200386/48852570-cabbage-isolated-on-white-background.jpg",1300,866,
"cabbage white background stock",8,"Green Cabbage On White Background Stock ...","https://www.dreamstime.com/green-cabbage-white-background-isolated-image137668114","https://thumbs.dreamstime.com/z/green-cabbage-white-background-isolated-137668114.jpg",1600,1689,
"cabbage white background stock",9,"Cabbage on white background — Stock ...","https://depositphotos.com/121874416/stock-photo-cabbage-on-white-background.html","https://st2.depositphotos.com/1821481/12187/i/950/depositphotos_121874416-stock-photo-cabbage-on-white-background.jpg",1024,819,
"cabbage white background stock",10,"Single green cabbage with dew Close-up ...","https://www.colourbox.com/image/single-green-cabbage-with-dew-close-up-isolated-on-white-background-studio-photography-image-3074922","https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX3074922.jpg",800,765,
"cabbage white background stock",11,"Chinese cabbage on white background ...","https://www.colourbox.com/image/chinese-cabbage-on-white-background-image-4029167","https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX4029167.jpg",800,739,
"cabbage white background stock",12,"Fresh green cabbage white background ...","https://depositphotos.com/162341356/stock-photo-fresh-green-cabbage-white-background.html","https://st3.depositphotos.com/11698096/16234/i/1600/depositphotos_162341356-stock-photo-fresh-green-cabbage-white-background.jpg",1600,1167,
"cabbage white background stock",13,"Chinese Cabbage,white Background Stock ...","https://www.123rf.com/photo_69979482_chinese-cabbage-white-background.html","https://previews.123rf.com/images/phanasitti/phanasitti1701/phanasitti170100010/69979482-chinese-cabbage-white-background.jpg",1300,866,
"cabbage white background stock",14,"Fresh ripe cabbage on white background ...","https://www.alamy.com/fresh-ripe-cabbage-on-white-background-image246296341.html","https://c8.alamy.com/comp/T8KNDW/fresh-ripe-cabbage-on-white-background-T8KNDW.jpg",1300,1288,
"cabbage white background stock",15,"Photo of the single green cabbage ...","https://www.colourbox.com/image/photo-of-the-single-green-cabbage-against-the-white-background-image-1712258","https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX1712258.jpg",800,600,
"cabbage white background stock",16,"Cabbage White Butterfly Images, Stock ...","https://www.shutterstock.com/search/cabbage+white+butterfly","https://image.shutterstock.com/image-photo/close-small-cabbage-white-pieris-260nw-1026488956.jpg",390,280,
"cabbage white background stock",17,"Fresh Cabbage White Background Stock ...","https://www.dreamstime.com/fresh-cabbage-white-background-isolated-image146367716","https://thumbs.dreamstime.com/z/fresh-cabbage-white-background-isolated-146367716.jpg",1600,1156,
"cabbage white background stock",18,"White Background Stock Photo ...","https://www.istockphoto.com/photo/green-cabbage-isolated-on-white-background-gm942880946-257663668","https://media.istockphoto.com/photos/green-cabbage-isolated-on-white-background-picture-id942880946",1024,682,
"cabbage white background stock",19,"Cabbage White Background Stock Photos ...","https://www.alamy.com/stock-photo/cabbage-white-background.html?page=2","https://c8.alamy.com/comp/C4Y6RE/vegetable-white-cabbage-sliced-C4Y6RE.jpg",1300,956,
"cabbage white background stock",20,"White Background Stock Photo ...","https://www.123rf.com/photo_20699568_fresh-chinese-cabbage-on-a-white-background.html","https://previews.123rf.com/images/tpzijl/tpzijl1306/tpzijl130600099/20699568-fresh-chinese-cabbage-on-a-white-background.jpg",1300,866,
"cabbage white background stock",21,"Small Cabbage, White Background ...","https://www.dreamstime.com/vegetarian-important-vegetables-cabbage-heart-kind-cabbage-white-background-vegetarian-cabbage-heart-small-cabbage-image107017790","https://thumbs.dreamstime.com/z/vegetarian-important-vegetables-cabbage-heart-kind-cabbage-white-background-vegetarian-cabbage-heart-small-cabbage-107017790.jpg",1300,957,
"cabbage white background stock",22,"Cabbage White Background Stock Photo ...","https://www.shutterstock.com/image-photo/cabbage-white-background-577083403","https://image.shutterstock.com/image-photo/cabbage-white-background-600w-577083403.jpg",600,470,
"cabbage white background stock",23,"Cabbage on a white background | Stock ...","https://www.colourbox.com/image/cabbage-on-a-white-background-image-2577541","https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX2577541.jpg",800,552,
"cabbage white background stock",24,"whole head of green Beijing cabbage on ...","https://www.alamy.com/whole-head-of-green-beijing-cabbage-on-a-white-background-image333958130.html","https://c8.alamy.com/comp/2AB9302/whole-head-of-green-beijing-cabbage-on-a-white-background-2AB9302.jpg",1300,1045,
"cabbage white background stock",25,"Cabbage isolated on white - Stock Photo ...","https://www.pinterest.com/pin/837599230687298301/","https://i.pinimg.com/originals/6a/9a/8f/6a9a8ff690d93eb873a730e7d3fce92c.jpg",1023,682,
"cabbage white background stock",26,"Fresh Cabbage White Background — Stock ...","https://depositphotos.com/212267178/stock-photo-fresh-cabbage-white-background.html","https://st4.depositphotos.com/10614052/21226/i/1600/depositphotos_212267178-stock-photo-fresh-cabbage-white-background.jpg",1600,1653,
"cabbage white background stock",27,"Cabbage white background - Stock ...","https://www.pixtastock.com/illustration/38618059","https://en.pimg.jp/038/618/059/1/38618059.jpg",450,381,
"cabbage white background stock",28,"Half of red cabbage on white background ...","https://focusedcollection.com/180575956/stock-photo-half-red-cabbage-white-background.html","https://st.focusedcollection.com/13422768/i/1800/focused_180575956-stock-photo-half-red-cabbage-white-background.jpg",1800,1800,
"cabbage white background stock",29,"Cabbage On A White Background Stock ...","https://www.dreamstime.com/cabbage-white-background-cabbage-white-background-image130934962","https://thumbs.dreamstime.com/z/cabbage-white-background-cabbage-white-background-130934962.jpg",1600,1155,
"cabbage white background stock",30,"Fresh Cabbage White Background — Stock ...","https://depositphotos.com/212267172/stock-photo-fresh-cabbage-white-background.html","https://st4.depositphotos.com/10614052/21226/i/1600/depositphotos_212267172-stock-photo-fresh-cabbage-white-background.jpg",1600,1512,
"cabbage white background stock",31,"White Cabbage White Background Stock ...","https://www.shutterstock.com/image-photo/white-cabbage-background-342765434","https://image.shutterstock.com/z/stock-photo-white-cabbage-white-background-342765434.jpg",1500,1101,
"cabbage white background stock",32,"green cabbage on white background ...","https://focusedcollection.com/180575394/stock-photo-close-view-green-cabbage-white.html","https://st.focusedcollection.com/13422768/i/1800/focused_180575394-stock-photo-close-view-green-cabbage-white.jpg",1800,1800,
"cabbage white background stock",33,"Cabbage White Background Stock Pictures ...","https://www.gettyimages.com/photos/cabbage-white-background","https://media.gettyimages.com/photos/whole-of-cabbage-high-angle-view-picture-id126401165?s=612x612",612,459,
"cabbage white background stock",34,"chinese cabbage on a white background ...","https://photodune.net/item/chinese-cabbage-on-a-white-background/22160507","https://s3.envato.com/files/249377703/651.jpg",590,417,
"cabbage white background stock",35,"chinese cabbage on a white background ...","https://www.pixtastock.com/photo/50586281","https://en.pimg.jp/050/586/281/1/50586281.jpg",363,450,
"cabbage white background stock",36,"Fresh chinese cabbage, isolated on ...","https://stock.adobe.com/images/fresh-chinese-cabbage-isolated-on-white-background/208355423","https://as1.ftcdn.net/jpg/02/08/35/54/500_F_208355423_Rf4den4ucdc6zRllkpulW6KbRGm52MFJ.jpg",500,334,
"cabbage white background stock",37,"Chinese Cabbage Bowl White Background ...","https://www.pinterest.com/pin/853572935609115122/","https://i.pinimg.com/originals/43/df/cf/43dfcf8e77d4b63e63ac02002a0c69a7.jpg",1024,678,
"cabbage white background stock",38,"Chinese Cabbage On White Background ...","https://www.dreamstime.com/stock-photo-fresh-chinese-cabbage-chinese-cabbage-white-background-image77927401","https://thumbs.dreamstime.com/b/fresh-chinese-cabbage-chinese-cabbage-white-background-77927401.jpg",800,533,
"cabbage white background stock",39,"Cabbage White Background Premium ...","https://www.gettyimages.ie/photos/cabbage-white-background?page=7","https://media.gettyimages.com/photos/full-frame-shot-of-fresh-chopped-cabbage-picture-id707504839?s=612x612",612,408,
"cabbage white background stock",40,"white background. Clipping Path ...","https://www.alamy.com/stock-image-red-cabbage-isolated-on-white-background-clipping-path-165398079.html","https://c8.alamy.com/comp/KH2EX7/red-cabbage-isolated-on-white-background-clipping-path-KH2EX7.jpg",1278,1390,
"cabbage white background stock",41,"Cabbage white background — Stock Photo ...","https://depositphotos.com/128946456/stock-photo-cabbage-white-background.html","https://st3.depositphotos.com/1006602/12894/i/950/depositphotos_128946456-stock-photo-cabbage-white-background.jpg",1024,759,
"cabbage white background stock",42,"Whole cabbage white, green vegetable ...","https://www.fotosearch.ca/CSP848/k53083110/","https://fscomps.fotosearch.com/compc/CSP/CSP848/whole-cabbage-white-green-vegetable-stock-image__k53083110.jpg",450,352,
"cabbage white background stock",43,"Cabbage White Background Images, Stock ...","https://www.shutterstock.com/search/cabbage+white+background","https://image.shutterstock.com/image-photo/white-cabbage-isolated-on-background-260nw-1667953501.jpg",390,280,
"cabbage white background stock",44,"Cabbage white background.","https://www.canstockphoto.com/cabbage-white-background-46823051.html","https://comps.canstockphoto.com/cabbage-white-background-stock-images_csp46823051.jpg",450,320,
"cabbage white background stock",45,"Cabbage white background"" Stock photo ...","https://www.fotolia.com/id/125813388","https://t4.ftcdn.net/jpg/01/25/81/33/500_F_125813388_wX0UvVRlCJiG01jAaAxG2ZU1mQmKskSe.jpg",500,367,
"cabbage white background stock",46,"Chinese cabbage on white background ...","https://photodune.net/item/chinese-cabbage-on-white-background/22153924","https://s3.envato.com/files/249310682/354.jpg",590,391,
