search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"eggs brown",1,"Are Eggs Healthy? Are Brown Eggs Better ...","https://www.realmomnutrition.com/egg-myths-you-should-stop-believing/","https://www.realmomnutrition.com/wp-content/uploads/Egg-Myths-2.jpg",750,528,
"eggs brown",2,"Brown vs White Eggs — Is There a ...","https://www.healthline.com/nutrition/white-vs-brown-eggs","https://i0.wp.com/images-prod.healthline.com/hlcmsresource/images/AN_images/AN474-Brown-White-Eggs-732x549-thumb.jpg?w=756&h=567",732,549,
"eggs brown",3,"Is brown egg healthier than white eggs ...","https://timesofindia.indiatimes.com/life-style/food-news/brown-eggs-vs-white-eggs-what-should-you-choose/articleshow/68521300.cms","https://static.toiimg.com/photo/68523233.cms",1200,900,
"eggs brown",4,"Chicken Egg , the brown eggs Artistic ...","https://society6.com/product/chicken-egg-the-brown-eggs_print","https://ctl.s6img.com/society6/img/G9eMGpNEkdr2KVjpLHIRbTCSGX4/w_1500/prints/~artwork/s6-original-art-uploads/society6/uploads/misc/e050d4da42fd42299316f4f134f146fd/~~/chicken-egg-the-brown-eggs-prints.jpg",1500,1500,
"eggs brown",5,"difference between white and brown eggs ...","https://www.bestfoodfacts.org/food-facts-what-is-the-difference-between-white-and-brown-eggs/","https://www.bestfoodfacts.org/wp-content/uploads/2018/06/best-food-facts-egg-facts-hero-image-824x325.jpg",824,325,
"eggs brown",6,"Brown Eggs Are More Nutritious Than ...","https://www.fitday.com/fitness-articles/nutrition/healthy-eating/myth-or-fact-brown-eggs-are-more-nutritious-than-white-eggs.html","https://cimg0.ibsrv.net/cimg/www.fitday.com/693x350_85-1/728/Eggs_000001615195_Small-108728.jpg",693,350,
"eggs brown",7,"Wooden Decoy Chicken Nesting Eggs ...","https://www.homedepot.com/p/Animal-House-Wooden-Decoy-Chicken-Nesting-Eggs-Brown-Training-Eggs-for-Laying-Chickens-Hen-Nest-Boxes-Set-of-2-5403731/305900763","https://images.homedepot-static.com/productImages/a05df84d-2abf-4631-8fe2-a700669593ec/svn/animal-house-accessories-5403731-64_1000.jpg",1000,1000,
"eggs brown",8,"Is brown egg healthier than white eggs ...","https://timesofindia.indiatimes.com/life-style/food-news/brown-eggs-vs-white-eggs-what-should-you-choose/articleshow/68521300.cms","https://static.toiimg.com/thumb/msid-68521300,width-800,height-600,resizemode-75,imgsize-2011357,pt-32,y_pad-40/68521300.jpg",800,600,
"eggs brown",9,"Large Brown Eggs - Dutch Meadows Farm","https://dutchmeadowsfarm.com/store/product/dozen-large-eggs","https://s3.amazonaws.com/grazecart/dutchmeadowsfarm/images/1496424467_5931a0134b6b8.jpg",992,558,
"eggs brown",10,"Difference Between Brown and White Eggs ...","https://io9.gizmodo.com/whats-the-real-difference-between-brown-and-white-eggs-1628000031","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/c7reuwsqbcmqah0kt7lv.jpg",1200,675,
"eggs brown",11,"Brown Eggs Vs White Eggs: Whats the ...","https://food.ndtv.com/food-drinks/brown-eggs-vs-white-eggs-whats-the-difference-743350","https://i.ndtvimg.com/i/2015-03/eggs_625x350_81425159684.jpg",625,350,
"eggs brown",12,"White vs Brown Chicken Eggs ...","https://www.wideopenpets.com/whats-the-deal-with-white-vs-brown-chicken-eggs/","https://cdn0.wideopenpets.com/wp-content/uploads/2018/03/Untitled-design-1-3.png",900,484,
