search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"eggs white",1,"Don't waste eggs when making egg wash ...","https://pilotonline.com/life/article_2fa6ba81-68e9-5ddf-a83b-f99a16a05137.html","https://www.pilotonline.com/resizer/y6KPwHPzCX1vraA1CAoAivxtgxw=/fit-in/800x533/smart/filters:fill(black)/arc-anglerfish-arc2-prod-tronc.s3.amazonaws.com/public/4XSQCHH6YNA4TGVDT2FKCJTNQ4.jpg",800,533,
"eggs white",2,"White Eggs | Hobby Lobby | 95352","https://www.hobbylobby.com/Floral-Wedding/Floral-Supplies/Faux-Food/White-Eggs/p/95352","https://imgprod65.hobbylobby.com/c/cf/fd/ccffd3b5db6ae1e00e7d52e5ce4ac472e999cc4e/700Wx700H-636225-0220-px.jpg",700,700,
"eggs white",3,"Egg Allergy ...","https://www.premierallergyohio.com/blog/prevalence-and-significance-of-egg-allergy","https://sa1s3optim.patientpop.com/assets/images/provider/photos/2138924.jpg",844,569,
"eggs white",4,"white eggs with shadow Royalty Free Vector","https://www.vectorstock.com/royalty-free-vector/set-brown-and-white-eggs-with-shadow-vector-27498933","https://cdn4.vectorstock.com/i/1000x1000/89/33/set-brown-and-white-eggs-with-shadow-vector-27498933.jpg",1000,787,
"eggs white",5,"Poultry White Chicken Eggs - Buy ...","https://www.alibaba.com/product-detail/Poultry-White-Chicken-Eggs_121898554.html","https://sc02.alicdn.com/kf/UTB8YCJ8vMnJXKJkSaelq6xUzXXay/Poultry-White-Chicken-Eggs.jpg_640x640.jpg",640,640,
"eggs white",6,"The Japanese Government Has Hatched a ...","https://www.eater.com/2015/8/31/9233823/japanese-eggs-white-yolks","https://cdn.vox-cdn.com/thumbor/9Wi7snHfXekgDCU7YYlbB1q4s8w=/55x0:944x667/1400x1400/filters:focal(55x0:944x667):format(jpeg)/cdn.vox-cdn.com/uploads/chorus_image/image/47064426/white-eggs-japan.0.0.jpg",1400,1400,
"eggs white",7,"Mexico will allow imported table eggs ...","https://www.wattagnet.com/articles/38549-mexico-will-allow-imported-table-eggs-to-be-washed","https://www.wattagnet.com/ext/resources/Images-by-month-year/19_08/poultry/white-eggs.jpg",700,467,
"eggs white",8,"SallyFashion Easter Eggs Wooden Fake ...","https://www.amazon.com/SallyFashion-Easter-Wooden-9Piece-White/dp/B01CJ7KWW2","https://images-na.ssl-images-amazon.com/images/I/31JyFpPeNtL._AC_.jpg",252,220,
"eggs white",9,"Chicken Egg. Stock Footage ...","https://www.shutterstock.com/video/clip-1022140747-hand-takes-white-chicken-egg-eggs-carton","https://ak.picdn.net/shutterstock/videos/1022140747/thumb/1.jpg",852,480,
"eggs white",10,"White Eggs In A Box Stock Photo ...","https://www.123rf.com/photo_10281039_white-eggs-in-a-box.html","https://previews.123rf.com/images/dantok/dantok1108/dantok110800013/10281039-white-eggs-in-a-box.jpg",1300,863,
