"search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"farfalle white background",1,"Two Raw Farfalle Pasta Isolated On ...","https://www.123rf.com/photo_92666547_two-raw-farfalle-pasta-isolated-on-white-background.html","https://previews.123rf.com/images/katerynabibro/katerynabibro1801/katerynabibro180103554/92666547-two-raw-farfalle-pasta-isolated-on-white-background.jpg",1300,1075,
"farfalle white background",2,"Traditional Farfalle Pasta Isolated On ...","https://www.123rf.com/photo_81223455_traditional-farfalle-pasta-isolated-on-a-white-background.html","https://previews.123rf.com/images/george39/george391706/george39170600100/81223455-traditional-farfalle-pasta-isolated-on-a-white-background.jpg",1300,866,
"farfalle white background",3,"Uncooked Farfalle Pasta White ...","https://depositphotos.com/196291372/stock-photo-uncooked-farfalle-pasta-white-background.html","https://st4.depositphotos.com/16122460/19629/i/1600/depositphotos_196291372-stock-photo-uncooked-farfalle-pasta-white-background.jpg",1600,1624,
"farfalle white background",4,"Three Bow Tie Pasta On White Background ...","https://www.123rf.com/photo_20083130_three-bow-tie-pasta-on-white-background.html","https://previews.123rf.com/images/vivilweb/vivilweb1306/vivilweb130600030/20083130-three-bow-tie-pasta-on-white-background.jpg",866,1300,
"farfalle white background",5,"Raw Farfalle Pasta Isolated On White ...","https://www.123rf.com/photo_92676560_raw-farfalle-pasta-isolated-on-white-background-a-lot-of-pieces.html","https://previews.123rf.com/images/katerynabibro/katerynabibro1801/katerynabibro180103422/92676560-raw-farfalle-pasta-isolated-on-white-background-a-lot-of-pieces.jpg",1300,783,
"farfalle white background",6,"Farfalle Pasta Isolated On White ...","https://www.dreamstime.com/farfalle-pasta-isolated-white-background-clipping-path-farfalle-pasta-isolated-white-background-raw-image115282915","https://thumbs.dreamstime.com/z/farfalle-pasta-isolated-white-background-clipping-path-farfalle-pasta-isolated-white-background-raw-115282915.jpg",1300,976,
"farfalle white background",7,"Dried Italian Bowtie Pasta Or Farfalle ...","https://www.123rf.com/photo_49459855_dried-italian-bowtie-pasta-or-farfalle-over-white-background.html","https://previews.123rf.com/images/akulamatiau/akulamatiau1512/akulamatiau151202116/49459855-dried-italian-bowtie-pasta-or-farfalle-over-white-background.jpg",1300,750,
"farfalle white background",8,"Farfalle Pasta Isolated On White ...","https://www.shutterstock.com/image-photo/farfalle-pasta-isolated-on-white-background-162282260","https://image.shutterstock.com/image-photo/farfalle-pasta-isolated-on-white-600w-162282260.jpg",600,526,
"farfalle white background",9,"Farfalle Pasta Isolated On White ...","https://www.istockphoto.com/photo/farfalle-pasta-isolated-on-white-background-gm177026945-19897798","https://media.istockphoto.com/photos/farfalle-pasta-isolated-on-white-background-picture-id177026945",1024,683,
"farfalle white background",10,"White Background Stock Photo ...","https://www.123rf.com/photo_7418227_farfalle-pasta-on-white-background.html","https://previews.123rf.com/images/jirkaejc/jirkaejc1007/jirkaejc100700165/7418227-farfalle-pasta-on-white-background.jpg",1300,866,
"farfalle white background",11,"Pasta farfalle close-up, copy space on ...","https://depositphotos.com/165393310/stock-photo-pasta-farfalle-close-up-copy.html","https://st3.depositphotos.com/11216536/16539/i/1600/depositphotos_165393310-stock-photo-pasta-farfalle-close-up-copy.jpg",1600,1167,
"farfalle white background",12,"Fresh Pasta Farfalle Isolated White ...","https://depositphotos.com/218473872/stock-photo-fresh-pasta-farfalle-isolated-white.html","https://st4.depositphotos.com/1000504/21847/i/1600/depositphotos_218473872-stock-photo-fresh-pasta-farfalle-isolated-white.jpg",1473,1700,
"farfalle white background",13,"Farfalle Italian Pasta, Isolated On ...","https://www.dreamstime.com/farfalle-italian-pasta-isolated-white-background-uncooked-dry-farfalle-italian-pasta-isolated-white-background-image122095587","https://thumbs.dreamstime.com/z/farfalle-italian-pasta-isolated-white-background-uncooked-dry-farfalle-italian-pasta-isolated-white-background-122095587.jpg",1300,957,
"farfalle white background",14,"Dry farfalle pasta on white background ...","https://www.flickr.com/photos/149561324@N03/46752056841","https://live.staticflickr.com/4874/46752056841_77df860e9e_b.jpg",1024,683,
"farfalle white background",15,"Farfalle Pasta On White Background ...","https://www.istockphoto.com/photo/farfalle-pasta-on-white-background-gm1096837124-294507025","https://media.istockphoto.com/photos/farfalle-pasta-on-white-background-picture-id1096837124",1024,727,
"farfalle white background",16,"Farfalle Pasta On The White Background ...","https://www.123rf.com/photo_118207116_farfalle-pasta-on-the-white-background.html","https://previews.123rf.com/images/lilyoh/lilyoh1903/lilyoh190311726/118207116-farfalle-pasta-on-the-white-background.jpg",1300,866,
"farfalle white background",17,"Bow Tie Pasta Isolated On White ...","https://www.dreamstime.com/bow-tie-pasta-isolated-white-background-top-view-farfalle-pasta-bow-tie-pasta-isolated-white-background-top-view-farfalle-image138637832","https://thumbs.dreamstime.com/z/bow-tie-pasta-isolated-white-background-top-view-farfalle-pasta-bow-tie-pasta-isolated-white-background-top-view-farfalle-138637832.jpg",1600,1156,
"farfalle white background",18,"Farfalle pasta isolated on white ...","https://www.alamy.com/farfalle-pasta-isolated-on-white-background-image240936974.html","https://c8.alamy.com/comp/RYYHFX/farfalle-pasta-isolated-on-white-background-RYYHFX.jpg",1300,1159,
"farfalle white background",19,"Farfalle Noodles Stock Photos ...","https://www.alamy.com/stock-photo/farfalle-noodles.html","https://c8.alamy.com/comp/J0MGNA/a-pile-of-farfalle-pasta-on-white-background-J0MGNA.jpg",1300,956,
"farfalle white background",20,"Heap of raw Farfalle pasta on white ...","https://www.alamy.com/heap-of-raw-farfalle-pasta-on-white-background-image244841432.html","https://c8.alamy.com/comp/T69DMT/heap-of-raw-farfalle-pasta-on-white-background-T69DMT.jpg",1300,1167,
"farfalle white background",21,"White Background Stock Photo ...","https://www.dreamstime.com/heap-farfalle-paste-isolated-white-background-heap-farfalle-paste-isolated-white-background-healthy-superfood-image160710184","https://thumbs.dreamstime.com/z/heap-farfalle-paste-isolated-white-background-heap-farfalle-paste-isolated-white-background-healthy-superfood-160710184.jpg",1600,1452,
"farfalle white background",22,"Pasta Form Bows White Background ...","https://depositphotos.com/211997936/stock-photo-pasta-form-bows-white-background.html","https://st4.depositphotos.com/16255514/21199/i/1600/depositphotos_211997936-stock-photo-pasta-form-bows-white-background.jpg",1600,1167,
