"search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"fusilli white background",1,"Heap Fusilli Pasta Isolated On White ...","https://www.123rf.com/photo_13493432_heap-fusilli-pasta-isolated-on-white-background-pasta-is-a-staple-food-of-traditional-italian-cuisin.html","https://previews.123rf.com/images/ekaterinalin/ekaterinalin1205/ekaterinalin120500050/13493432-heap-fusilli-pasta-isolated-on-white-background-pasta-is-a-staple-food-of-traditional-italian-cuisin.jpg",1300,866,
"fusilli white background",2,"Dried Corkscrew Shape Pasta Or Fusilli ...","https://www.123rf.com/photo_49459808_dried-corkscrew-shape-pasta-or-fusilli-pasta-over-white-background.html","https://previews.123rf.com/images/akulamatiau/akulamatiau1512/akulamatiau151202130/49459808-dried-corkscrew-shape-pasta-or-fusilli-pasta-over-white-background.jpg",1300,599,
"fusilli white background",3,"Uncooked Fusilli Pasta Noodles Isolated ...","https://www.123rf.com/photo_93723985_uncooked-fusilli-pasta-noodles-isolated-on-white-background.html","https://previews.123rf.com/images/maksvil/maksvil1801/maksvil180100135/93723985-uncooked-fusilli-pasta-noodles-isolated-on-white-background.jpg",1300,866,
"fusilli white background",4,"Pasta Fusilli Closeup On White ...","https://www.123rf.com/photo_9501241_pasta-fusilli-closeup-on-white-background.html","https://previews.123rf.com/images/windu/windu1105/windu110500009/9501241-pasta-fusilli-closeup-on-white-background.jpg",1300,866,
"fusilli white background",5,"pasta fusilli on white background Stock ...","https://www.alamy.com/stock-image-pasta-fusilli-on-white-background-167331655.html","https://c8.alamy.com/comp/KM6H6F/pasta-fusilli-on-white-background-KM6H6F.jpg",1300,956,
"fusilli white background",6,"Fusilli pasta isolated on white ...","https://depositphotos.com/157802792/stock-photo-fusilli-pasta-isolated-on-white.html","https://st3.depositphotos.com/1689882/15780/i/1600/depositphotos_157802792-stock-photo-fusilli-pasta-isolated-on-white.jpg",1600,1400,
"fusilli white background",7,"Pile of pasta fusilli isolated on white ...","https://www.colourbox.com/image/pile-of-pasta-fusilli-isolated-on-white-background-image-1936170","https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX1936170.jpg",800,457,
"fusilli white background",8,"Fusilli Pasta Isolated On White ...","https://www.shutterstock.com/image-photo/fusilli-pasta-isolated-on-white-background-762692089","https://image.shutterstock.com/z/stock-photo-fusilli-pasta-isolated-on-white-background-762692089.jpg",1500,1101,
"fusilli white background",9,"Pile of Fusilli pasta stock photo ...","https://www.dreamstime.com/royalty-free-stock-image-pile-fusilli-pasta-over-white-background-image33597856","https://thumbs.dreamstime.com/z/pile-fusilli-pasta-over-white-background-33597856.jpg",1300,960,
"fusilli white background",10,"Dried Corkscrew Shape Pasta Or Fusilli ...","https://www.123rf.com/photo_49459791_dried-corkscrew-shape-pasta-or-fusilli-pasta-over-white-background.html","https://previews.123rf.com/images/akulamatiau/akulamatiau1512/akulamatiau151202122/49459791-dried-corkscrew-shape-pasta-or-fusilli-pasta-over-white-background.jpg",1300,963,
"fusilli white background",11,"Italian Pasta Fusilli In A Wooden Bowl ...","https://www.123rf.com/photo_40523678_italian-pasta-fusilli-in-a-wooden-bowl-isolated-on-a-white-background.html","https://previews.123rf.com/images/sss615/sss6151506/sss615150600137/40523678-italian-pasta-fusilli-in-a-wooden-bowl-isolated-on-a-white-background.jpg",1300,1300,
