search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"green pepper",1,"Kroger - Bell Pepper - Green - Large, 1 ct","https://www.kroger.com/p/bell-pepper-green-large/0000000004065","https://www.kroger.com/product/images/xlarge/front/0000000004065",807,1000,
"green pepper",2,"Food City | Fresh Bell Pepper","https://www.foodcity.com/product/0000000004065/","https://kvat-webassets.aisleahead.com/getMainImageSquare.php?upc=0000000004065&size=800&order=1",800,800,
"green pepper",3,"Bonnie Green Bell Pepper: Classic ...","https://bonnieplants.com/product/bonnie-green-bell-pepper/","https://edge.bonnieplants.com/www/uploads/20180920004026/bonnie-s-green-bell-pepper.jpg",1024,1200,
"green pepper",4,"Green Bell Pepper - Each : Target","https://www.target.com/p/green-bell-pepper-each/-/A-13728672","https://target.scene7.com/is/image/Target/GUEST_28e240ec-dde9-4523-8d67-c3d14fdeb185?wid=488&hei=488&fmt=pjpeg",488,488,
"green pepper",5,"Green Bell Pepper, 1 each - Walmart.com ...","https://www.walmart.com/ip/Green-Bell-Pepper-1-each/44390945","https://i5.walmartimages.com/asr/f9eb0b85-a672-4d3c-9646-b83a4a675d98_1.f3f235f3bca9274f66b4f589647c50d3.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff",500,500,
"green pepper",6,"Fresh Green Bell Peppers - Shop Peppers ...","https://www.heb.com/product-detail/fresh-green-bell-peppers/374700","https://images.heb.com/is/image/HEBGrocery/000374700",2000,2000,
"green pepper",7,"Green Bell Peppers | Produce Market Guide","https://www.producemarketguide.com/produce/peppers-bell/green-bell-peppers","https://www.producemarketguide.com/sites/default/files/Variety.tar/Variety/green-bell-peppers_variety-page.png",600,600,
"green pepper",8,"Classic Stuffed Peppers | Feast and Farm","https://feastandfarm.com/classic-stuffed-peppers/","https://feastandfarm.com/wp-content/uploads/2015/03/stuffedpeppers2small-500x375.jpg",500,375,
"green pepper",9,"Green bell pepper (vegetables)","https://www.allmychefs.com/ingredients/green-bell-pepper_783","https://www.allmychefs.com/images/1013/370-274/ffffff/fotolia_52283514_subscription_xl-copy.jpg?poix=50&poiy=50",370,274,
"green pepper",10,"Green Bell Pepper Peppers | Meijer ...","https://www.meijer.com/shop/en/produce/vegetables/peppers/green-bell-pepper/p/4065","https://www.meijer.com/content/dam/meijer/product/0000/00/0040/65/0000000040655_a1c1_1200.png",1200,1200,
"green pepper",11,"Green Pepper Images, Stock Photos ...","https://www.shutterstock.com/search/green+pepper","https://image.shutterstock.com/image-photo/green-pepper-on-white-background-260nw-417400528.jpg",313,280,
"green pepper",12,"Green Pepper For Skin ...","https://www.stylecraze.com/articles/benefits-of-green-pepper-for-skin-hair-and-health/","https://cdn2.stylecraze.com/wp-content/uploads/2013/09/2267-Best-Benefits-Of-Green-Pepper-For-Skin-Hair-And-Health-is.jpg",720,810,
"green pepper",13,"Bell pepper - Wikipedia","https://en.wikipedia.org/wiki/Bell_pepper","https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Green-Yellow-Red-Pepper-2009.jpg/1200px-Green-Yellow-Red-Pepper-2009.jpg",1200,800,
"green pepper",14,"pepper varieties & their heat ...","https://www.pinterest.com/pin/193654852698103268/","https://i.pinimg.com/originals/04/5f/a6/045fa6dfe1409de4ac6adf8b593b20ba.jpg",1024,822,
"green pepper",15,"Don't Let Those Green Peppers Go to ...","https://www.jamesbeard.org/blog/culinary-challenge-dont-let-those-green-peppers-go-waste","https://www.jamesbeard.org/sites/default/files/blog/additional/green-peppers.jpg",515,438,
