"search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"ground beef white background stock",1,"Ground Beef Stock Pictures, Royalty ...","https://www.gettyimages.com/photos/ground-beef","https://media.gettyimages.com/photos/ground-beef-isolated-on-a-white-background-picture-id171364226",1024,655,
"ground beef white background stock",2,"Fresh Ground Beef On White Background ...","https://www.123rf.com/photo_21694284_photo-of-fresh-ground-beef-on-white-background.html","https://previews.123rf.com/images/sumners/sumners1308/sumners130800029/21694284-photo-of-fresh-ground-beef-on-white-background.jpg",1300,1300,
"ground beef white background stock",3,"Ground Beef Images, Stock Photos ...","https://www.shutterstock.com/search/ground+beef","https://image.shutterstock.com/image-photo/raw-ground-beef-white-polystyrene-260nw-182758466.jpg",403,280,
"ground beef white background stock",4,"Raw Pile Of Ground Beef On White ...","https://www.123rf.com/photo_13150145_raw-pile-of-ground-beef-on-white-background.html","https://previews.123rf.com/images/rmarmion/rmarmion1204/rmarmion120400414/13150145-raw-pile-of-ground-beef-on-white-background.jpg",1300,866,
"ground beef white background stock",5,"Ground meat on white background | Stock ...","https://www.colourbox.com/image/ground-meat-on-white-background-image-2234941","https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX2234941.jpg",800,665,
"ground beef white background stock",6,"cutout on white background Stock Photo ...","https://www.alamy.com/stock-photo-raw-ground-beef-cutout-on-white-background-20627908.html","https://c8.alamy.com/comp/B5FK30/raw-ground-beef-cutout-on-white-background-B5FK30.jpg",866,1390,
"ground beef white background stock",7,"Lean Ground Beef Freshly Ground On A ...","https://www.123rf.com/photo_8589475_lean-ground-beef-freshly-ground-on-a-white-background-.html","https://previews.123rf.com/images/bwf211/bwf2111101/bwf211110100052/8589475-lean-ground-beef-freshly-ground-on-a-white-background-.jpg",1300,796,
"ground beef white background stock",8,"Ground meat on white background | Stock ...","https://www.colourbox.com/image/ground-meat-on-white-background-image-2234804","https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX2234804.jpg",800,664,
"ground beef white background stock",9,"A heap of raw ground beef on a white ...","https://www.alamy.com/stock-photo-a-heap-of-raw-ground-beef-on-a-white-background-39989958.html","https://c8.alamy.com/comp/C91KGP/a-heap-of-raw-ground-beef-on-a-white-background-C91KGP.jpg",1300,955,
"ground beef white background stock",10,"Raw Minced Ground Beef Pork Ready ...","https://depositphotos.com/233637884/stock-photo-raw-minced-ground-beef-pork.html","https://st4.depositphotos.com/2377011/23363/i/1600/depositphotos_233637884-stock-photo-raw-minced-ground-beef-pork.jpg",1600,1188,
"ground beef white background stock",11,"Raw pork meat ground beef isolated on ...","https://stock.adobe.com/images/raw-pork-meat-ground-beef-isolated-on-white-background/76143583","https://as2.ftcdn.net/jpg/00/76/14/35/500_F_76143583_iQkFjSeQvmr1C4a7pHm7CsVPc6ZY9Xgi.jpg",500,375,
"ground beef white background stock",12,"Raw Ground Beef Stock Picture I4290339 ...","https://www.featurepics.com/online/Raw-Ground-Beef-Egg-3290339.aspx","https://www.featurepics.com/StockImage/20141002/raw-ground-beef-with-egg-stock-picture-3290339.jpg",1300,955,
"ground beef white background stock",13,"Raw Ground Beef Stock Photos - Download ...","https://www.dreamstime.com/photos-images/raw-ground-beef.html","https://thumbs.dreamstime.com/b/raw-ground-beef-mince-isolated-white-background-33602795.jpg",800,656,
