"search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"lettuce white background",1,"White Background Stock Photo ...","https://www.123rf.com/photo_27550805_green-iceberg-lettuce-on-white-background.html","https://previews.123rf.com/images/siwatham/siwatham1404/siwatham140400075/27550805-green-iceberg-lettuce-on-white-background.jpg",1300,1262,
"lettuce white background",2,"Salad leaf. Lettuce isolated on white ...","https://photodune.net/item/salad-leaf-lettuce-isolated-on-white-background/22252896","https://s3.envato.com/files/250102011/286.jpg",590,373,
"lettuce white background",3,"Fresh Green Lettuce Salad Leaves ...","https://www.123rf.com/photo_73551145_fresh-green-lettuce-salad-leaves-isolated-on-white-background.html","https://previews.123rf.com/images/natika/natika1703/natika170300430/73551145-fresh-green-lettuce-salad-leaves-isolated-on-white-background.jpg",1300,1300,
"lettuce white background",4,"Salad leaf. lettuce isolated on white ...","https://www.freepik.com/free-photo/salad-leaf-lettuce-isolated-white-background_1123355.htm","https://image.freepik.com/free-photo/salad-leaf-lettuce-isolated-white-background_1088-990.jpg",626,417,
"lettuce white background",5,"Lettuce leaves on a white background ...","https://www.colourbox.com/image/lettuce-leaves-on-a-white-background-image-1984414","https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX1984414.jpg",800,586,
"lettuce white background",6,"white background. Salad leaf ...","https://creativemarket.com/kolesnikovserg/1835141-Fresh-lettuce-isolated-on-white-background.-Salad-leaf","https://cmkt-image-prd.freetls.fastly.net/0.1.0/ps/3235849/910/1174/m2/fpnw/wm1/ojhby0zsrz4pqkfeptpxodgyljh0clykry9hnlmstxuykhot6xx5hermtyvqnk5g-.jpg?1505154322&s=ac44281af4fc0b0c066a4dff08bfec85",1820,2348,
"lettuce white background",7,"Lettuce Leaf Isolated On White ...","https://www.dreamstime.com/lettuce-leaf-isolated-white-background-close-up-image133541026","https://thumbs.dreamstime.com/z/lettuce-leaf-isolated-white-background-close-up-133541026.jpg",1600,1155,
"lettuce white background",8,"white background Royalty Free Vector Image","https://www.vectorstock.com/royalty-free-vector/lettuce-on-white-background-vector-13207511","https://cdn2.vectorstock.com/i/1000x1000/75/11/lettuce-on-white-background-vector-13207511.jpg",1000,1080,
"lettuce white background",9,"Salad leaf. Lettuce isolated on white ...","https://www.alamy.com/stock-photo-salad-leaf-lettuce-isolated-on-white-background-133515482.html","https://c8.alamy.com/comp/HN64A2/salad-leaf-lettuce-isolated-on-white-background-HN64A2.jpg",1300,956,
"lettuce white background",10,"baby cos (lettuce) on white background ...","https://www.freepik.com/premium-photo/fresh-baby-cos-lettuce-white-background_4395866.htm","https://image.freepik.com/free-photo/fresh-baby-cos-lettuce-white-background_42547-279.jpg",626,626,
"lettuce white background",11,"Romain Lettuce Isolated On A White ...","https://www.123rf.com/photo_14192882_romain-lettuce-isolated-on-a-white-background.html","https://previews.123rf.com/images/rimglow/rimglow1206/rimglow120600005/14192882-romain-lettuce-isolated-on-a-white-background.jpg",1200,1300,
"lettuce white background",12,"Green Cos Lettuce On White Background ...","https://www.dreamstime.com/green-cos-lettuce-white-background-beauty-clean-close-up-colour-imagedieting-environment-freshness-harvesting-healthy-eating-image151715253","https://thumbs.dreamstime.com/z/green-cos-lettuce-white-background-beauty-clean-close-up-colour-imagedieting-environment-freshness-harvesting-healthy-eating-151715253.jpg",1533,1689,
"lettuce white background",13,"Fresh Green Oak Lettuce Salad Leaves ...","https://www.istockphoto.com/photo/fresh-green-oak-lettuce-salad-leaves-isolated-on-white-background-gm1058003800-282749202","https://media.istockphoto.com/photos/fresh-green-oak-lettuce-salad-leaves-isolated-on-white-background-picture-id1058003800?k=6&m=1058003800&s=170667a&w=0&h=4gnt4ko4K3FUnQGZdAGn9jS5nCVS1HbGEJ2FAw95g1A=",479,360,
"lettuce white background",14,"Romaine Lettuce Bowl isolated on a ...","https://www.alamy.com/stock-photo-romaine-lettuce-bowl-isolated-on-a-white-background-74364694.html","https://c8.alamy.com/comp/E8YGWX/romaine-lettuce-bowl-isolated-on-a-white-background-E8YGWX.jpg",1300,1390,
"lettuce white background",15,"white background Vector Image","https://www.vectorstock.com/royalty-free-vector/bunch-of-lettuce-greens-on-a-white-background-vector-19586680","https://cdn1.vectorstock.com/i/1000x1000/66/80/bunch-of-lettuce-greens-on-a-white-background-vector-19586680.jpg",1000,1080,
"lettuce white background",16,"Lettuce salad isolated on white ...","https://www.colourbox.com/image/lettuce-salad-isolated-on-white-background-image-1701707","https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX1701707.jpg",800,679,
"lettuce white background",17,"Iceberg lettuce half from above on ...","https://photodune.net/item/iceberg-lettuce-half-from-above-on-white-background/21711603","https://s3.envato.com/files/244499210/IcebergLettuceHalfFromAbove.jpg",590,391,
"lettuce white background",18,"Top view of green leaf lettuce salad on ...","https://www.flickr.com/photos/30478819@N08/44058857970","https://live.staticflickr.com/1905/44058857970_096dbcb190_b.jpg",1024,683,
"lettuce white background",19,"Salad leaf. Lettuce isolated on white ...","https://depositphotos.com/272267308/stock-photo-salad-leaf-lettuce-isolated-on.html","https://st4.depositphotos.com/1008657/27226/i/1600/depositphotos_272267308-stock-photo-salad-leaf-lettuce-isolated-on.jpg",1600,1700,
"lettuce white background",20,"Salad leaf. Lettuce isolated on white ...","https://depositphotos.com/164448292/stock-photo-salad-leaf-lettuce-isolated-on.html","https://st3.depositphotos.com/11700927/16444/i/1600/depositphotos_164448292-stock-photo-salad-leaf-lettuce-isolated-on.jpg",1600,1339,
"lettuce white background",21,"Romaine lettuce on white background ...","https://focusedcollection.com/180574790/stock-photo-romaine-lettuce-white-background.html","https://st.focusedcollection.com/13422768/i/1800/focused_180574790-stock-photo-romaine-lettuce-white-background.jpg",1800,1800,
"lettuce white background",22,"Salad Leaf Lettuce Isolated On White ...","https://www.shutterstock.com/image-photo/salad-leaf-lettuce-isolated-on-white-343381544","https://image.shutterstock.com/z/stock-photo-salad-leaf-lettuce-isolated-on-white-background-343381544.jpg",1499,1600,
