"search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"pasta elbow white background",1,"Raw Elbow Macaroni (Gomiti Pasta ...","https://www.123rf.com/photo_46288323_raw-elbow-macaroni-gomiti-pasta-isolated-on-white-background.html","https://previews.123rf.com/images/gamjai/gamjai1510/gamjai151000209/46288323-raw-elbow-macaroni-gomiti-pasta-isolated-on-white-background.jpg",1300,861,
"pasta elbow white background",2,"Raw Elbow Macaroni Or Gomiti Pasta ...","https://www.123rf.com/photo_26542518_raw-elbow-macaroni-or-gomiti-pasta-isolated-on-white-background.html","https://previews.123rf.com/images/digifuture/digifuture1402/digifuture140200024/26542518-raw-elbow-macaroni-or-gomiti-pasta-isolated-on-white-background.jpg",1300,1300,
"pasta elbow white background",3,"Elbow Pasta Images, Stock Photos ...","https://www.shutterstock.com/search/elbow+pasta","https://image.shutterstock.com/image-photo/raw-elbow-macaroni-gomiti-pasta-260nw-1125636656.jpg",419,280,
"pasta elbow white background",4,"Elbow Macaroni Gomiti Pasta Isolated On ...","https://www.123rf.com/photo_23131343_elbow-macaroni-gomiti-pasta-isolated-on-white-background.html","https://previews.123rf.com/images/digifuture/digifuture1310/digifuture131000062/23131343-elbow-macaroni-gomiti-pasta-isolated-on-white-background.jpg",1300,865,
"pasta elbow white background",5,"Uncooked Elbow Macaroni In Bowl ...","https://www.dreamstime.com/uncooked-elbow-macaroni-bowl-isolated-white-background-image139724697","https://thumbs.dreamstime.com/z/uncooked-elbow-macaroni-bowl-isolated-white-background-139724697.jpg",1600,1155,
"pasta elbow white background",6,"Raw Elbow Macaroni Gomiti Pasta ...","https://depositphotos.com/212794554/stock-photo-raw-elbow-macaroni-gomiti-pasta.html","https://st4.depositphotos.com/16043836/21279/i/1600/depositphotos_212794554-stock-photo-raw-elbow-macaroni-gomiti-pasta.jpg",1600,1355,
"pasta elbow white background",7,"Bowl Of Dried Pasta Or Elbow Pasta Over ...","https://www.istockphoto.com/in/photo/bowl-of-dried-pasta-or-elbow-pasta-over-white-background-gm547209978-98854579","https://media.istockphoto.com/photos/bowl-of-dried-pasta-or-elbow-pasta-over-white-background-picture-id547209978",1024,795,
"pasta elbow white background",8,"Raw elbow macaroni in wooden dish with ...","https://www.alamy.com/stock-photo-raw-elbow-macaroni-in-wooden-dish-with-raw-pasta-on-white-background-134998562.html","https://c8.alamy.com/comp/HRHM16/raw-elbow-macaroni-in-wooden-dish-with-raw-pasta-on-white-background-HRHM16.jpg",1300,951,
"pasta elbow white background",9,"Elbow Macaroni Isolated On White ...","https://www.istockphoto.com/photo/elbow-macaroni-isolated-on-white-background-gm520740280-91080343","https://media.istockphoto.com/photos/elbow-macaroni-isolated-on-white-background-picture-id520740280",1024,681,
"pasta elbow white background",10,"Raw Dry Elbow Macaroni. Italian Pasta ...","https://www.123rf.com/photo_46288328_raw-dry-elbow-macaroni-italian-pasta-raw-food-in-white-bowl-on-white-background-.html","https://previews.123rf.com/images/gamjai/gamjai1510/gamjai151000212/46288328-raw-dry-elbow-macaroni-italian-pasta-raw-food-in-white-bowl-on-white-background-.jpg",1300,861,
"pasta elbow white background",11,"Elbow Macaroni (Gomiti Pasta) Isolated ...","https://www.dreamstime.com/royalty-free-stock-photos-elbow-macaroni-gomiti-pasta-isolated-white-background-raw-elbows-image34453948","https://thumbs.dreamstime.com/z/elbow-macaroni-gomiti-pasta-isolated-white-background-raw-elbows-34453948.jpg",1300,1390,
