"search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"tagliatelle white background",1,"Tagliatelle Pasta With Basil Isolated ...","https://www.123rf.com/photo_72770500_tagliatelle-pasta-with-basil-isolated-on-white-background.html","https://previews.123rf.com/images/shootdiem/shootdiem1702/shootdiem170200037/72770500-tagliatelle-pasta-with-basil-isolated-on-white-background.jpg",1299,1300,
"tagliatelle white background",2,"Uncooked Nest Of Tagliatelle Pasta ...","https://www.123rf.com/photo_89106284_uncooked-nest-of-tagliatelle-pasta-isolated-on-white-background.html","https://previews.123rf.com/images/svetlanak/svetlanak1710/svetlanak171000056/89106284-uncooked-nest-of-tagliatelle-pasta-isolated-on-white-background.jpg",1300,994,
"tagliatelle white background",3,"Dry tagliatelle pasta on white ...","https://www.flickr.com/photos/149561324@N03/46699158622","https://live.staticflickr.com/4906/46699158622_91802b39d7_b.jpg",1024,683,
"tagliatelle white background",4,"Uncooked nest of tagliatelle pasta ...","https://www.alamy.com/uncooked-nest-of-tagliatelle-pasta-isolated-on-white-background-with-clipping-path-image341274848.html","https://c8.alamy.com/comp/2AR6BFC/uncooked-nest-of-tagliatelle-pasta-isolated-on-white-background-with-clipping-path-2AR6BFC.jpg",1300,1316,
"tagliatelle white background",5,"Fresh Homemade Pappardelle Pasta From ...","https://www.123rf.com/photo_5878591_fresh-homemade-pappardelle-pasta-from-dough-with-white-background.html","https://previews.123rf.com/images/ivonnewierink/ivonnewierink0911/ivonnewierink091100155/5878591-fresh-homemade-pappardelle-pasta-from-dough-with-white-background.jpg",1300,865,
"tagliatelle white background",6,"Uncooked nests of tagliatelle pasta ...","https://www.alamy.com/uncooked-nests-of-tagliatelle-pasta-isolated-on-white-background-with-clipping-path-image348682612.html","https://c8.alamy.com/comp/2B77T6C/uncooked-nests-of-tagliatelle-pasta-isolated-on-white-background-with-clipping-path-2B77T6C.jpg",1300,1077,
"tagliatelle white background",7,"white background Royalty Free Vector Image","https://www.vectorstock.com/royalty-free-vector/pasta-noodles-on-white-background-vector-18554182","https://cdn3.vectorstock.com/i/1000x1000/41/82/pasta-noodles-on-white-background-vector-18554182.jpg",1000,780,
"tagliatelle white background",8,"Egg Pasta Nest Isolated On White ...","https://www.123rf.com/photo_58123530_egg-pasta-nest-isolated-on-white-background-top-view.html","https://previews.123rf.com/images/bigacis/bigacis1606/bigacis160600017/58123530-egg-pasta-nest-isolated-on-white-background-top-view.jpg",1300,1162,
"tagliatelle white background",9,"cherry tomato; garlic clove; black ...","https://www.freepik.com/free-photo/uncooked-tagliatelle-pasta-cherry-tomato-garlic-clove-black-pepper-isolated-white-background-with-space-text_4930637.htm","https://img.freepik.com/free-photo/uncooked-tagliatelle-pasta-cherry-tomato-garlic-clove-black-pepper-isolated-white-background-with-space-text_23-2148195014.jpg?size=626&ext=jpg",626,352,
"tagliatelle white background",10,"Over White Background. Stock Photo ...","https://www.dreamstime.com/stock-photo-tagliatelle-pasta-isolated-over-white-background-image24405220","https://thumbs.dreamstime.com/z/tagliatelle-pasta-isolated-over-white-background-24405220.jpg",1300,1330,
"tagliatelle white background",11,"Givaga. Pasta tagliatelle isolated ...","https://www.pinterest.com/pin/795237246679942395/","https://i.pinimg.com/474x/b5/4c/a7/b54ca7ff56bff0184e6cba87d43fba83.jpg",474,410,
"tagliatelle white background",12,"Uncooked Fettuccine Pasta On White ...","https://www.dreamstime.com/uncooked-fettuccine-pasta-white-background-uncooked-fettuccine-pasta-white-background-top-view-image116725336","https://thumbs.dreamstime.com/z/uncooked-fettuccine-pasta-white-background-uncooked-fettuccine-pasta-white-background-top-view-116725336.jpg",1322,1300,
"tagliatelle white background",13,"Handmade Italian Tagliatelle Pasta On ...","https://www.istockphoto.com/photo/handmade-italian-tagliatelle-pasta-on-white-background-gm1008263602-271965363","https://media.istockphoto.com/photos/handmade-italian-tagliatelle-pasta-on-white-background-picture-id1008263602",1024,683,
"tagliatelle white background",14,"Uncooked Pasta On White Background ...","https://www.shutterstock.com/search/uncooked+pasta+on+white+background","https://image.shutterstock.com/image-photo/egg-pasta-nest-isolated-on-260nw-430815613.jpg",273,280,
"tagliatelle white background",15,"Nest Of Tagliatelle Pasta Isolated On ...","https://www.123rf.com/photo_140014825_nest-of-tagliatelle-pasta-isolated-on-white-background.html","https://previews.123rf.com/images/maksvil/maksvil2002/maksvil200200087/140014825-nest-of-tagliatelle-pasta-isolated-on-white-background.jpg",1300,866,
"tagliatelle white background",16,"Raw Tagliatelle Pasta Nests Isolated On ...","https://depositphotos.com/271914778/stock-photo-raw-tagliatelle-pasta-nests-isolated.html","https://st4.depositphotos.com/1817356/27191/i/1600/depositphotos_271914778-stock-photo-raw-tagliatelle-pasta-nests-isolated.jpg",1600,1049,
"tagliatelle white background",17,"Raw tagliatelle pasta nests isolated on ...","https://www.alamy.com/raw-tagliatelle-pasta-nests-isolated-on-white-background-top-view-image246994974.html","https://c8.alamy.com/comp/T9RGH2/raw-tagliatelle-pasta-nests-isolated-on-white-background-top-view-T9RGH2.jpg",1300,1333,
"tagliatelle white background",18,"One Fettuccine Pasta Nest Isolated On ...","https://www.gettyimages.dk/detail/photo/one-fettuccine-pasta-nest-isolated-on-white-royalty-free-image/973667498","https://media.gettyimages.com/photos/one-fettuccine-pasta-nest-isolated-on-white-background-picture-id973667498",1024,683,
"tagliatelle white background",19,"Handmade Italian Tagliatelle Pasta On ...","https://www.istockphoto.com/photo/handmade-italian-tagliatelle-pasta-on-white-background-gm1008263634-271965371","https://media.istockphoto.com/photos/handmade-italian-tagliatelle-pasta-on-white-background-picture-id1008263634",1024,683,
"tagliatelle white background",20,"Italian Pasta On White Background ...","https://www.123rf.com/photo_102344294_stock-vector-type-of-italian-pasta-on-white-background-illustration.html","https://previews.123rf.com/images/brgfx/brgfx1805/brgfx180500357/102344294-type-of-italian-pasta-on-white-background-illustration.jpg",1300,1279,
"tagliatelle white background",21,"Fresh egg tagliatelle pasta on white ...","https://www.mediastorehouse.com/uig/food-drink/healthy-eating/fresh-egg-tagliatelle-pasta-white-background-9568479.html","https://www.mediastorehouse.com/p/617/fresh-egg-tagliatelle-pasta-white-background-9568479.jpg",600,424,
