"search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"tortellini white background",1,"Italian Tortellini Pasta Isolated On ...","https://www.123rf.com/photo_6910433_italian-tortellini-pasta-isolated-on-white-background.html","https://previews.123rf.com/images/unknown1861/unknown18611005/unknown1861100500006/6910433-italian-tortellini-pasta-isolated-on-white-background.jpg",1300,1300,
"tortellini white background",2,"White Background Stock Photos ...","https://www.shutterstock.com/search/tortellini+white+background?image_type=photo","https://image.shutterstock.com/image-photo/ravioli-isolated-on-white-background-260nw-1121149268.jpg",398,280,
"tortellini white background",3,"Tortellini Pasta On White Background ...","https://www.123rf.com/photo_12901153_tortellini-pasta-on-white-background.html","https://previews.123rf.com/images/cristi180884/cristi1808841203/cristi180884120300041/12901153-tortellini-pasta-on-white-background.jpg",1300,870,
"tortellini white background",4,"Tortellini Isolated Images, Stock ...","https://www.shutterstock.com/search/tortellini+isolated","https://image.shutterstock.com/image-photo/ravioli-isolated-on-white-background-260nw-1100908232.jpg",429,280,
"tortellini white background",5,"Heap Of Raw Tortellini Pasta On White ...","https://www.123rf.com/photo_29485687_heap-of-raw-tortellini-pasta-on-white-background.html","https://previews.123rf.com/images/eyewave/eyewave1406/eyewave140603002/29485687-heap-of-raw-tortellini-pasta-on-white-background.jpg",1300,974,
"tortellini white background",6,"Italian tortellini pasta stock photo ...","https://www.dreamstime.com/stock-photo-italian-tortellini-pasta-white-background-image44687750","https://thumbs.dreamstime.com/z/italian-tortellini-pasta-white-background-44687750.jpg",1300,955,
"tortellini white background",7,"Filled Pasta on White Background ...","https://depositphotos.com/129199478/stock-photo-tortellini-filled-pasta-on-white.html","https://st3.depositphotos.com/4320995/12919/i/950/depositphotos_129199478-stock-photo-tortellini-filled-pasta-on-white.jpg",1023,682,
"tortellini white background",8,"Italian Tortellini Pasta Isolated On ...","https://www.123rf.com/photo_6910436_italian-tortellini-pasta-isolated-on-white-background.html","https://previews.123rf.com/images/unknown1861/unknown18611005/unknown1861100500008/6910436-italian-tortellini-pasta-isolated-on-white-background.jpg",1300,1300,
"tortellini white background",9,"Tortellini ring-shaped pasta on a white ...","https://www.alamy.com/tortellini-ring-shaped-pasta-on-a-white-background-image279076815.html","https://c8.alamy.com/comp/X61193/tortellini-ring-shaped-pasta-on-a-white-background-X61193.jpg",1300,953,
"tortellini white background",10,"Tortellini White Stock Photos ...","https://www.dreamstime.com/photos-images/background-tortellini-white.html","https://thumbs.dreamstime.com/b/tortellini-white-background-raw-tortellini-white-background-171423681.jpg",800,533,
"tortellini white background",11,"Tortellini Stock Image | k3196082 ...","https://www.fotosearch.com/CSP319/k3196082/","https://fscomps.fotosearch.com/compc/CSP/CSP319/tortellini-stock-image__k3196082.jpg",450,318,
"tortellini white background",12,"Fresh raw tortellini pasta isolated on ...","https://www.canstockphoto.com/fresh-raw-tortellini-pasta-isolated-on-59215772.html","https://comps.canstockphoto.com/fresh-raw-tortellini-pasta-isolated-on-picture_csp59215772.jpg",450,320,
"tortellini white background",13,"tortellini on a white background ...","https://us.clipdealer.com/photo/media/A:40133862","https://images.assetsdelivery.com/compings_v2/ksena32/ksena321505/ksena32150500884.jpg",450,297,
"tortellini white background",14,"Tortellini, Stock Photo | Crushpixel","https://www.crushpixel.com/stock-photo/tortellini-1005211.html","https://www.crushpixel.com/static12/preview2/tortellini-1005211.jpg",500,332,
"tortellini white background",15,"Tortellini White Stock Photos ...","https://www.dreamstime.com/photos-images/background-tortellini-white.html","https://thumbs.dreamstime.com/b/tortellini-white-background-raw-tortellini-white-background-171423591.jpg",800,533,
