search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"white potatos",1,"Are White Potatoes Healthy? | STACK","https://www.stack.com/a/are-white-potatoes-healthy","http://upl.stack.com/wp-content/uploads/2017/03/28102424/Potatoes-STACK.jpg",654,368,
"white potatos",2,"White potatoes : Substitutes ...","https://www.gourmetsleuth.com/ingredients/detail/white-potatoes","https://www.gourmetsleuth.com/images/default-source/dictionary/white-potatoes.jpg?sfvrsn=4",300,300,
"white potatos",3,"White Rose Potatoes Information ...","https://www.specialtyproduce.com/produce/White_Rose_Potatoes_2016.php","https://specialtyproduce.com/sppics/2016.png",872,512,
"white potatos",4,"White Creamer Potatoes Information ...","https://www.specialtyproduce.com/produce/White_Creamer_Potatoes_20151.php","https://specialtyproduce.com/sppics/20151.png",872,537,
"white potatos",5,"White Potato Types & Tips | White ...","https://www.potatogoodness.com/white-potatoes-types-and-tips/","https://www.potatogoodness.com/wp-content/uploads/2012/12/White.jpg",3000,4495,
"white potatos",6,"Food Fight: Sweet Potatoes vs. White ...","https://www.foodnetwork.com/healthyeats/2013/03/food-fight-sweet-potatoes-vs-white-potatoes","https://food.fnr.sndimg.com/content/dam/images/food/fullset/2013/3/6/0/HE_sweet-and-white-potatoes-thinkstock_s4x3.jpg.rend.hgtvcom.616.462.suffix/1382542436394.jpeg",616,462,
"white potatos",7,"Mega Chip White Seed Potatoes (Kennebec ...","https://www.hollandbulbfarms.com/spring-planting-bulbs/vegetables/seed-potatoes/mega-chip-white-seed-potatoes-kennebec","https://images.hollandbulbfarms.com/mmHBF/Images/370X480/11703.jpg",370,480,
"white potatos",8,"Potatoes 101: All You Need to Know ...","https://www.seriouseats.com/2017/11/potato-shopping-storage-recipe-guide.html","https://www.seriouseats.com/images/2017/11/20171031-potato-varieties-vicky-wasik-white-1.jpg",1500,1125,
"white potatos",9,"Baby White Potatoes","https://www.melissas.com/Baby-White-Potatoes-p/224.htm","https://www.melissas.com/v/vspfiles/photos/224-2T.jpg",400,400,
"white potatos",10,"Fuel Cycling: White vs Sweet Potato ...","https://totalwomenscycling.com/fitness/foods-fuel-cycling-white-vs-sweet-potato","https://coresites-cdn-adm.imgix.net/twc/wp-content/uploads/2018/03/white-potato.jpg",1920,1080,
"white potatos",11,"Mashed White Sweet Potatoes Recipe","https://www.thespruceeats.com/mashed-white-sweet-potatoes-2138205","https://www.thespruceeats.com/thmb/0dA_qY-Q6EKBqXPxNANvO9d_-a8=/4042x2274/smart/filters:no_upscale()/mashed-white-sweet-potatoes-2138205-hero-01-e6637305cbbf4b0384fbff9c582357b0.jpg",4042,2274,
"white potatos",12,"White Potato Varieties: Tips For ...","https://www.gardeningknowhow.com/edible/vegetables/potato/potatoes-that-are-white.htm","https://i1.wp.com/www.gardeningknowhow.com/wp-content/uploads/2019/01/white-potato.jpg?fit=1254%2C836&ssl=1",1254,836,
"white potatos",13,"Round White Potatoes, 5 lbs Potatoes ...","https://www.meijer.com/shop/en/produce/vegetables/potatoes/round-white-potatoes-5-lbs/p/4125005983","https://www.meijer.com/content/dam/meijer/product/0041/25/0059/83/0041250059837_a1c1_1200.png",1200,1200,
"white potatos",14,"A Guide To Every Type Of Potato You ...","https://www.huffpost.com/entry/types-of-potatoes_n_4877050","https://img.huffingtonpost.com/asset/5b9de7973c00005b000a53c4.jpeg?ops=scalefit_720_noupscale",628,314,
"white potatos",15,"White Potato Products California","http://www.valleyspuds.com/potato-varieties/white-kennebec-potatoes/","http://www.valleyspuds.com/wp-content/uploads/Valley-Spuds-Pile-of-White-Potatoes.jpg",1920,1280,
"white potatos",16,"White PotatoesBushwick Potato Commission","http://www.bushwickpotato.com/bushwick-potatoes/white-potatoes/","http://www.bushwickpotato.com/wp-content/uploads/2012/06/whitepotatoes-300x244.jpg",300,244,
"white potatos",17,"Food 4 Less - White Potatoes, Each","https://www.food4less.com/p/white-potatoes/0000000004219","https://www.kroger.com/product/images/xlarge/front/0000000004219",1000,691,
"white potatos",18,"Are White Potatoes Healthy? | STACK","https://www.stack.com/a/are-white-potatoes-healthy","http://upl.stack.com/wp-content/uploads/2017/03/28103503/Holding-Potatoes-STACK.jpg",654,368,
"white potatos",19,"White Seed Potatoes Superior | Holland ...","https://www.hollandbulbfarms.com/spring-planting-bulbs/vegetables/seed-potatoes/white-seed-potatoes-superior","https://images.hollandbulbfarms.com/mmHBF/Images/370X480/11704.jpg",370,480,
"white potatos",20,"Fresh White Potatoes - Shop Potatoes ...","https://www.heb.com/product-detail/fresh-white-potatoes/318982","https://images.heb.com/is/image/HEBGrocery/000318982",2000,2000,
"white potatos",21,"White Cheddar Mashed Potatoes Recipe ...","https://www.food.com/recipe/white-cheddar-mashed-potatoes-223748","https://img.sndimg.com/food/image/upload/c_thumb,q_80,w_412,h_232/v1/img/recipes/22/37/48/picgCM0YN.jpg",412,232,
"white potatos",22,"White Round Potato - Definition and ...","https://www.recipetips.com/glossary-term/t--35157/white-round-potato.asp","https://files.recipetips.com/images/glossary/w/white_round_potato.jpg",252,189,
"white potatos",23,"Are White Potatoes Paleo? The Truth ...","https://blog.paleohacks.com/white-potatoes-permitted-paleo-diet/","https://blog.paleohacks.com/wp-content/uploads/2013/10/are-white-potatoes-paleo.jpg",744,499,
"white potatos",24,"10 Can Sliced White Potatoes - 6/Case","https://www.webstaurantstore.com/10-can-sliced-white-potatoes-case/10703422.html","https://cdnimg.webstaurantstore.com/images/products/large/25997/1898903.jpg",600,600,
"white potatos",25,"Paleo Foods: White Potatoes | Paleo Leap","https://paleoleap.com/paleo-foods-white-potatoes/","https://res.cloudinary.com/paleoleap/image/upload/v1470694127/foods/completed-potatoes.jpg",1580,1709,
"white potatos",26,"Sweet Potatoes or White Potatoes?","https://blog.designsforhealth.com/potatoes","https://blog.designsforhealth.com/sites/default/files/styles/thumb_1/public/shutterstock_795203446.jpg?itok=4-sl9g1g",370,208,
"white potatos",27,"The White Potato and the Law | Dr ...","https://www.drmcdougall.com/2014/01/20/the-white-potato-and-the-law/","http://www.drmcdougall.com/wp/wp-content/uploads/Potatoes.jpg",1629,1166,
