search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"white rice uncooked",1,"Uncooked White Rice Stock Photo ...","https://www.123rf.com/photo_37312201_asian-white-rice-or-uncooked-white-rice.html","https://previews.123rf.com/images/rtsubin/rtsubin1503/rtsubin150300066/37312201-asian-white-rice-or-uncooked-white-rice.jpg",1300,866,
"white rice uncooked",2,"Image Of Uncooked White Rice","https://www.featurepics.com/online/Uncooked-White-Rice-1650695.aspx","https://www.featurepics.com/StockImage/20100908/uncooked-white-rice-stock-image-1650695.jpg",866,1392,
"white rice uncooked",3,"Uncooked White Rice Stock Photo ...","https://www.123rf.com/photo_89603513_short-grains-of-uncooked-white-rice.html","https://previews.123rf.com/images/kitika/kitika1711/kitika171100024/89603513-short-grains-of-uncooked-white-rice.jpg",1300,867,
"white rice uncooked",4,"Bowl Of Uncooked White Rice Stock Photo ...","https://www.123rf.com/photo_42833566_bowl-of-uncooked-white-rice.html","https://previews.123rf.com/images/tobi/tobi1507/tobi150702944/42833566-bowl-of-uncooked-white-rice.jpg",1300,890,
"white rice uncooked",5,"White rice Nutrition Facts - Eat This Much","https://www.eatthismuch.com/food/nutrition/white-rice,4814/","https://images.eatthismuch.com/site_media/img/4814_erin_m_fa14835d-89a3-491d-b115-1230248e9777.png",1200,900,
"white rice uncooked",6,"White Rice Uncooked Raw Cereals Stock ...","https://www.123rf.com/photo_19241409_white-rice-uncooked-raw-cereals.html","https://previews.123rf.com/images/nd0009/nd00091304/nd0009130400023/19241409-white-rice-uncooked-raw-cereals.jpg",866,1300,
"white rice uncooked",7,"Heap Of Uncooked White Rice Stock Photo ...","https://www.123rf.com/photo_31798328_heap-of-uncooked-white-rice.html","https://previews.123rf.com/images/tobi/tobi1409/tobi140900056/31798328-heap-of-uncooked-white-rice.jpg",1300,825,
"white rice uncooked",8,"Bowl Of Uncooked White Rice Stock Photo ...","https://www.123rf.com/photo_31798332_bowl-of-uncooked-white-rice.html","https://previews.123rf.com/images/tobi/tobi1409/tobi140900059/31798332-bowl-of-uncooked-white-rice.jpg",1300,920,
"white rice uncooked",9,"Uncooked White Rice Stock Photo ...","https://www.istockphoto.com/photo/uncooked-white-rice-gm843253048-143685237","https://media.istockphoto.com/photos/uncooked-white-rice-picture-id843253048",1024,906,
"white rice uncooked",10,"Food Ingredients: Uncooked White Rice ...","https://www.featurepics.com/online/Uncooked-White-Rice-1645562.aspx","https://www.featurepics.com/StockImage/20100830/uncooked-white-rice-stock-picture-1645562.jpg",866,1392,
"white rice uncooked",11,"Uncooked White Rice Stock Photo ...","https://www.123rf.com/photo_62474911_asian-white-rice-or-uncooked-white-rice.html","https://previews.123rf.com/images/torsakarin/torsakarin1609/torsakarin160900073/62474911-asian-white-rice-or-uncooked-white-rice.jpg",1300,866,
"white rice uncooked",12,"Uncooked White Rice and Wooden Spoon by ...","https://elements.envato.com/uncooked-white-rice-and-wooden-spoon-4H9HMKW","https://elements-video-cover-images-0.imgix.net/files/b5e5a2c6-fffe-4c30-8339-ec37c4ad74c5/inline_image_preview.jpg?auto=compress&crop=edges&fit=crop&fm=jpeg&h=800&w=1200&s=a7a5a4f65d41cc50669636a9cf37d453",1200,800,
"white rice uncooked",13,"Longgrain Rice Background Stock Photo ...","https://www.istockphoto.com/photo/uncooked-white-long-grain-rice-background-gm669540800-122354587","https://media.istockphoto.com/photos/uncooked-white-longgrain-rice-background-picture-id669540800",1024,682,
"white rice uncooked",14,"Uncooked Long Grain White Rice in a ...","https://dissolve.com/stock-photo/Uncooked-Long-Grain-White-Rice-royalty-free-image/101-D1062-1-554","https://cdn6.dissolve.com/p/D1062_1_554/D1062_1_554_1200.jpg",1200,995,
"white rice uncooked",15,"wooden bowl of raw rice Stock Photo by ...","https://photodune.net/item/wooden-bowl-of-raw-rice/23383132","https://s3.envato.com/files/261186325/23300.jpg",590,553,
"white rice uncooked",16,"White Rice Uncooked Close Up Stock ...","https://www.dreamstime.com/white-rice-uncooked-close-up-white-rice-uncooked-close-up-healthy-cooking-home-studio-image117413968","https://thumbs.dreamstime.com/z/white-rice-uncooked-close-up-white-rice-uncooked-close-up-healthy-cooking-home-studio-117413968.jpg",1300,957,
"white rice uncooked",17,"Uncooked White Rice Stock Photo ...","https://www.shutterstock.com/image-photo/asian-white-rice-uncooked-1203053338","https://image.shutterstock.com/image-photo/asian-white-rice-uncooked-600w-1203053338.jpg",600,420,
"white rice uncooked",18,"Uncooked white rice background.","https://www.canstockphoto.com/uncooked-white-rice-background-20594926.html","https://comps.canstockphoto.com/uncooked-white-rice-background-stock-photo_csp20594926.jpg",450,318,
"white rice uncooked",19,"A Bowl of Uncooked White Rice - Stock ...","https://dissolve.com/stock-photo/Bowl-Uncooked-White-royalty-free-image/101-D1062-1-526","https://cdn8.dissolve.com/p/D1062_1_526/D1062_1_526_1200.jpg",1200,981,
"white rice uncooked",20,"Closeup Jasmine White Rice, Uncooked ...","https://www.shutterstock.com/video/clip-1027281080-closeup-jasmine-white-rice-uncooked-products-by","https://ak.picdn.net/shutterstock/videos/1027281080/thumb/1.jpg",852,480,
"white rice uncooked",21,"Uncooked white rice by leungchopan on ...","https://elements.envato.com/uncooked-white-rice-8G46BDZ","https://elements-video-cover-images-0.imgix.net/files/9598b4ee-2ed3-49be-b916-f0a0fec7bc0d/inline_image_preview.jpg?auto=compress%2Cformat&fit=min&h=394&w=700&s=71705fde587fdd283f9329a9eff8cd47",554,312,
"white rice uncooked",22,"Long-grain white rice","https://www.diet-health.info/en/recipes/ingredients/in/dc7656-long-grain-white-rice","https://www.diet-health.info/images/recipes/1400/ricegrains1100ppx-1.jpg",1140,683,
"white rice uncooked",23,"Raw White Rice With Chop Sticks ...","https://www.featurepics.com/online/Raw-White-Rice-Chop-Sticks-619200.aspx","https://www.featurepics.com/StockImage/20080219/raw-white-rice-with-chop-sticks-stock-image-619200.jpg",1300,1035,
"white rice uncooked",24,"Uncooked white rice. Asian white rice ...","https://www.canstockphoto.com/uncooked-white-rice-32682384.html","https://comps.canstockphoto.com/uncooked-white-rice-pictures_csp32682384.jpg",450,319,
"white rice uncooked",25,"WhiteRice-Raw | Uncooked white rice ...","http://www.flickr.com/photos/knitstamatic/6109173227/","https://live.staticflickr.com/6075/6109173227_5b2ae6f180_b.jpg",1000,881,
"white rice uncooked",26,"Thai jasmine rice uncooked periodic.jpg ...","https://commons.wikimedia.org/wiki/File:Thai_jasmine_rice_uncooked_periodic.jpg","https://upload.wikimedia.org/wikipedia/commons/f/ff/Thai_jasmine_rice_uncooked_periodic.jpg",1689,1689,
"white rice uncooked",27,"White rice Nutrition Facts - Eat This Much","https://www.eatthismuch.com/food/nutrition/white-rice,4917/","https://images.eatthismuch.com/site_media/img/4917_hopscotch_queen_74b807e0-588d-4608-abf5-933c34961fcb.png",300,225,
"white rice uncooked",28,"Bowl of uncooked rice | High-Quality ...","https://creativemarket.com/Alex9500/2550842-Bowl-of-uncooked-rice","https://cmkt-image-prd.freetls.fastly.net/0.1.0/ps/4433668/910/608/m2/fpnw/wm1/fyqbx6gczukliue3hpwbaz0zec4wp9r98lnp1saglmnamerattzzptw3tdrzom0s-.jpg?1525980776&s=8b5bf5260709eb5aa2162f16906c2bfc",1820,1216,
