"search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"apple white background stock",1,"Apple White Background Images, Stock ...","https://www.shutterstock.com/search/apple+white+background","https://image.shutterstock.com/image-photo/one-red-apple-on-white-260nw-642357937.jpg",347,280,
"apple white background stock",2,"Red Delicious Apple with Leaf; White ...","https://dissolve.com/stock-photo/Red-Delicious-Apple-Leaf-White-royalty-free-image/101-D1062-22-959","https://cdn7.dissolve.com/p/D1062_22_959/D1062_22_959_1200.jpg",1033,1200,
"apple white background stock",3,"Ripe red apple on a white background ...","https://www.colourbox.com/image/ripe-red-apple-on-a-white-background-image-3226468","https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX3226468.jpg",533,800,
"apple white background stock",4,"Red Apple Isolated on White Background ...","https://www.colourbox.com/image/red-apple-isolated-on-white-background-image-2160465","https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX2160465.jpg",715,800,
"apple white background stock",5,"Ripe Red Apple On White Background ...","https://www.123rf.com/photo_11067037_ripe-red-apple-on-white-background.html","https://previews.123rf.com/images/seralexvi/seralexvi1110/seralexvi111000148/11067037-ripe-red-apple-on-white-background.jpg",1300,1130,
"apple white background stock",6,"Apple White Background Images, Stock ...","https://www.shutterstock.com/search/apple+white+background","https://image.shutterstock.com/image-photo/red-apple-isolated-on-white-260nw-1668410722.jpg",283,280,
"apple white background stock",7,"Red Apple, White Background Stock Photo ...","https://www.123rf.com/photo_122842463_red-apple-white-background.html","https://previews.123rf.com/images/bbtreesubmission/bbtreesubmission1905/bbtreesubmission190500914/122842463-red-apple-white-background.jpg",1300,1183,
"apple white background stock",8,"red apple isolated on white background ...","https://photodune.net/item/red-apple-isolated-on-white-background/9311695","https://s3.envato.com/files/109676442/IMG_5395_1.jpg",590,504,
"apple white background stock",9,"Red Apple Rotating On White Background ...","https://videohive.net/item/red-apple-rotating-on-white-background/15865808","https://s3.envato.com/files/183163748/590.jpg",590,332,
"apple white background stock",10,"Apple on white background - Stock Photo ...","https://dissolve.com/stock-photo/Apple-white-royalty-free-image/101-D1028-32-666","https://cdn8.dissolve.com/p/D1028_32_666/D1028_32_666_1200.jpg",1200,1200,
"apple white background stock",11,"Red Apple White Background Free Stock ...","https://www.publicdomainpictures.net/en/view-image.php?image=62548&picture=red-apple-white-background","https://www.publicdomainpictures.net/pictures/70000/nahled/red-apple-white-background.jpg",615,461,
"apple white background stock",12,"Delicious Red Apple With A Leaf On A ...","https://www.123rf.com/photo_11877863_delicious-red-apple-with-a-leaf-on-a-white-background.html","https://previews.123rf.com/images/buriy/buriy1201/buriy120100037/11877863-delicious-red-apple-with-a-leaf-on-a-white-background.jpg",1300,1300,
"apple white background stock",13,"Red apple with green leaf isolated on a ...","https://www.colourbox.com/image/red-apple-with-green-leaf-isolated-on-a-white-background-image-4264408","https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX4264408.jpg",800,777,
"apple white background stock",14,"Apple On White Background Stock Photo ...","https://www.dreamstime.com/red-apple-white-background-image170897904","https://thumbs.dreamstime.com/z/red-apple-white-background-170897904.jpg",1600,1181,
"apple white background stock",15,"tea. Isolated on white background Stock ...","https://www.alamy.com/stock-photo-apple-and-orange-fruit-tea-isolated-on-white-background-56018746.html","https://c8.alamy.com/comp/D73TDE/apple-and-orange-fruit-tea-isolated-on-white-background-D73TDE.jpg",1300,1318,
"apple white background stock",16,"green apple on white background Stock ...","https://photodune.net/item/green-apple-on-white-background/22154283","https://s3.envato.com/files/249314531/33.jpg",590,364,
"apple white background stock",17,"Half On White Background Stock Photo ...","https://www.dreamstime.com/red-apple-half-white-background-new-zealand-queen-image144391334","https://thumbs.dreamstime.com/z/red-apple-half-white-background-new-zealand-queen-144391334.jpg",1600,1111,
"apple white background stock",18,"Fresh Red Apple On White Background ...","https://www.shutterstock.com/image-photo/fresh-red-apple-on-white-background-153386453","https://image.shutterstock.com/image-photo/fresh-red-apple-on-white-600w-153386453.jpg",600,618,
"apple white background stock",19,"White Background Stock Photo ...","https://www.123rf.com/photo_30334989_green-apple-isolated-on-white-background.html","https://previews.123rf.com/images/cloud7days/cloud7days1408/cloud7days140800218/30334989-green-apple-isolated-on-white-background.jpg",1300,1219,
"apple white background stock",20,"Red Apple White Background — Stock ...","https://depositphotos.com/217387816/stock-photo-red-apple-white-background.html","https://st4.depositphotos.com/2524151/21738/i/1600/depositphotos_217387816-stock-photo-red-apple-white-background.jpg",1600,1270,
"apple white background stock",21,"Red fresh apple isolated on white ...","https://www.colourbox.com/image/red-fresh-apple-isolated-on-white-background-image-2784299","https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX2784299.jpg",800,800,
"apple white background stock",22,"Apple On A White Background Stock Image ...","https://www.dreamstime.com/apple-white-background-front-view-image167640047","https://thumbs.dreamstime.com/z/apple-white-background-front-view-167640047.jpg",1600,1411,
"apple white background stock",23,"One whole Kanzi apple, one half, three ...","https://www.alamy.com/one-whole-kanzi-apple-one-half-three-slices-isolated-on-white-background-image212570206.html","https://c8.alamy.com/comp/P9RBD2/one-whole-kanzi-apple-one-half-three-slices-isolated-on-white-background-P9RBD2.jpg",1300,1235,
"apple white background stock",24,"apple white background Royalty Free Vector","https://www.vectorstock.com/royalty-free-vector/red-delicious-apple-white-background-vector-20050575","https://cdn1.vectorstock.com/i/1000x1000/05/75/red-delicious-apple-white-background-vector-20050575.jpg",885,1080,
"apple white background stock",25,"Apple Isolated On White Background ...","https://www.123rf.com/photo_140742993_apple-with-beautiful-slices-of-apple-isolated-on-white-background-.html","https://previews.123rf.com/images/tanyasid/tanyasid2002/tanyasid200200058/140742993-apple-with-beautiful-slices-of-apple-isolated-on-white-background-.jpg",1300,865,
"apple white background stock",26,"apple isolated on white background ...","https://photodune.net/item/two-green-apple-isolated-on-white-background/22680270","https://s3.envato.com/files/254883136/DSC_3094_red.jpg",590,429,
"apple white background stock",27,"White Background High-Res Stock Photo ...","https://www.gettyimages.com/detail/photo/an-apple-core-on-a-white-background-royalty-free-image/71579990","https://media.gettyimages.com/photos/an-apple-core-on-a-white-background-picture-id71579990",1024,683,
