search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"aubergine raw",1,"eating raw eggplant ...","https://www.quora.com/What-are-the-benefits-of-eating-raw-eggplant","https://qph.fs.quoracdn.net/main-qimg-cdec5e4a037f6a0784df6bd475eabf16.webp",602,497,
"aubergine raw",2,"Nutritions Eggplant, raw per 100 grams.","http://www.foodnutritiontable.com/nutritions/nutrient/?id=71","http://www.foodnutritiontable.com/_lib/img/prod/big/aubergine.jpg",360,360,
"aubergine raw",3,"How to Freeze Raw Eggplant (With images ...","https://www.pinterest.com/pin/112167846946447547/","https://i.pinimg.com/originals/e6/ba/37/e6ba37fa8b80b20980253648918924b4.jpg",320,213,
"aubergine raw",4,"Can Eggplant Be Eaten Raw?","https://www.foodsforbetterhealth.com/can-you-eat-eggplant-raw-35945","https://www.foodsforbetterhealth.com/wp-content/uploads/2014/03/Eggplant.jpg",500,374,
"aubergine raw",5,"Fresh ripe aubergine and stripped raw ...","https://www.alamy.com/stock-photo-fresh-ripe-aubergine-and-stripped-raw-eggplants-over-wood-background-85502919.html","https://c8.alamy.com/comp/EY2YRK/fresh-ripe-aubergine-and-stripped-raw-eggplants-over-wood-background-EY2YRK.jpg",868,1390,
"aubergine raw",6,"Raw aubergine in frying pan. Aubergine ...","https://www.canstockphoto.com/raw-aubergine-in-frying-pan-12667115.html","https://comps.canstockphoto.com/raw-aubergine-in-frying-pan-picture_csp12667115.jpg",450,319,
"aubergine raw",7,"Eggplant, Aubergine, raw | DataYourEat","https://www.datayoureat.com/r/T1xbaheMmTyV/Eggplant_Aubergine_raw?l10n=NONE","https://www.datayoureat.com/images/FHWVHQGYIstv.jpg",800,600,
"aubergine raw",8,"Raw Eggplant Salad ♥ Recipe","https://www.aveggieventure.com/2009/07/raw-eggplant-salad.html","http://1.bp.blogspot.com/_PwJi8kol570/SkplralndOI/AAAAAAAACeY/--xCQjaE7xw/s320/A+Veggie+Venture+2009+Raw+Eggplant+Salad+400.JPG",320,256,
"aubergine raw",9,"Recipe: Raw Marinaded Aubergine with ...","https://www.ethivegan.com/recipe-raw-marinaded-aubergine-with-poppy-seeds-raw-vegan-vegetarian-paleo-paleovegan/","https://www.ethivegan.com/wp-content/uploads/2015/07/Raw-Marinaded-Aubergine-with-Poppy-Seeds-1024x683.jpg",1024,683,
"aubergine raw",10,"Can I Eat Raw Eggplant? (with pictures)","https://www.wisegeek.com/can-i-eat-raw-eggplant.htm","https://images.wisegeek.com/two-egg-plants.jpg",784,800,
"aubergine raw",11,"Round And Long Fresh Organic Raw Purple ...","https://www.istockphoto.com/photo/round-and-long-fresh-organic-raw-purple-and-green-brinjal-or-eggplant-or-aubergine-gm813242952-131529515","https://media.istockphoto.com/photos/round-and-long-fresh-organic-raw-purple-and-green-brinjal-or-eggplant-picture-id813242952",1024,683,
"aubergine raw",12,"Fresh Organic Raw Purple Brinjal ...","https://www.123rf.com/photo_54872644_round-and-long-fresh-organic-raw-purple-brinjal-or-eggplant-or-aubergine-healthy-and-delicious-purpl.html","https://previews.123rf.com/images/ieang/ieang1603/ieang160300093/54872644-round-and-long-fresh-organic-raw-purple-brinjal-or-eggplant-or-aubergine-healthy-and-delicious-purpl.jpg",1300,866,
"aubergine raw",13,"Fresh raw aubergine vegetables isolated ...","https://www.canstockphoto.com/aubergine-raw-vegetable-5578084.html","https://comps.canstockphoto.com/aubergine-raw-vegetable-stock-photo_csp5578084.jpg",450,319,
"aubergine raw",14,"The health benefits of aubergines | BBC ...","https://www.bbcgoodfood.com/howto/guide/ingredient-focus-aubergines","https://www.bbcgoodfood.com/sites/default/files/guide/guide-image/2013/08/health-benefits-aubergine-700-350.jpg",700,350,
"aubergine raw",15,"Purple Aubergine Raw Food Stock Photo ...","https://www.shutterstock.com/image-photo/isolated-purple-aubergine-raw-food-123098131","https://image.shutterstock.com/image-photo/isolated-purple-aubergine-raw-food-600w-123098131.jpg",600,421,
"aubergine raw",16,"Raw Aubergine On A Wooden Background ...","https://www.dreamstime.com/raw-aubergine-wooden-background-raw-aubergine-wooden-background-top-view-ready-cooking-image122432168","https://thumbs.dreamstime.com/z/raw-aubergine-wooden-background-raw-aubergine-wooden-background-top-view-ready-cooking-122432168.jpg",1300,957,
