search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"cannelloni uncooked",1,"Uncooked Cannelloni Pasta On Cutting ...","https://www.123rf.com/photo_77501966_uncooked-cannelloni-pasta-on-cutting-board-and-ingredients-italian-cuisine.html","https://previews.123rf.com/images/fotek/fotek1705/fotek170500003/77501966-uncooked-cannelloni-pasta-on-cutting-board-and-ingredients-italian-cuisine.jpg",1300,866,
"cannelloni uncooked",2,"Uncooked cannelloni pasta photo by ...","https://elements.envato.com/uncooked-cannelloni-pasta-T946V2W","https://envato-shoebox-0.imgix.net/d32a/4096-004e-4a56-b506-87bd7b60de55/DSC_8870-2.jpg?auto=compress%2Cformat&fit=max&mark=https%3A%2F%2Felements-assets.envato.com%2Fstatic%2Fwatermark2.png&markalign=center%2Cmiddle&markalpha=18&w=700&s=2d9f5aad452f78bf69387ec09812b4ac",700,424,
"cannelloni uncooked",3,"Italian raw pasta. Cannelloni | ✅ Marco ...","https://www.flickr.com/photos/30478819@N08/37829120152","https://live.staticflickr.com/4450/37829120152_6b00cb78cb_b.jpg",1024,683,
"cannelloni uncooked",4,"Uncooked Cannelloni Pasta On Cutting ...","https://www.dreamstime.com/stock-photo-uncooked-cannelloni-pasta-cutting-board-ingredients-italian-cuisine-image91965546","https://thumbs.dreamstime.com/z/uncooked-cannelloni-pasta-cutting-board-ingredients-italian-cuisine-91965546.jpg",1300,957,
"cannelloni uncooked",5,"Uncooked cannelloni pasta Stock Photo ...","https://photodune.net/item/uncooked-cannelloni-pasta/22915784","https://s3.envato.com/files/256907845/DSC_8866-3.jpg",590,394,
"cannelloni uncooked",6,"Uncooked Pasta Cannelloni On An Old ...","https://www.123rf.com/photo_26063205_uncooked-pasta-cannelloni-on-an-old-wooden-board-closeup-horizontal.html","https://previews.123rf.com/images/lenyvavsha/lenyvavsha1402/lenyvavsha140200258/26063205-uncooked-pasta-cannelloni-on-an-old-wooden-board-closeup-horizontal.jpg",1300,866,
"cannelloni uncooked",7,"Italian raw pasta. Cannelloni | ✅ Marco ...","https://www.flickr.com/photos/30478819@N08/37829120152","https://live.staticflickr.com/4450/37829120152_6b00cb78cb_n.jpg",319,213,
"cannelloni uncooked",8,"Cannelloni - Wikipedia","https://en.wikipedia.org/wiki/Cannelloni","https://upload.wikimedia.org/wikipedia/commons/6/6e/Cannelloni2.png",3968,2976,
"cannelloni uncooked",9,"Uncooked cannelloni pasta on cutting ...","https://www.alamy.com/stock-image-uncooked-cannelloni-pasta-on-cutting-board-and-ingredients-italian-165974273.html","https://c8.alamy.com/comp/KJ0NTH/uncooked-cannelloni-pasta-on-cutting-board-and-ingredients-italian-KJ0NTH.jpg",1300,956,
"cannelloni uncooked",10,"Uncooked Cannelloni Pasta On Cutting ...","https://www.123rf.com/photo_77501840_uncooked-cannelloni-pasta-on-cutting-board-and-ingredients-italian-cuisine.html","https://previews.123rf.com/images/fotek/fotek1705/fotek170500013/77501840-uncooked-cannelloni-pasta-on-cutting-board-and-ingredients-italian-cuisine.jpg",1300,866,
"cannelloni uncooked",11,"Uncooked Cannelloni Pasta On Cutting ...","https://www.123rf.com/photo_94262311_uncooked-cannelloni-pasta-on-cutting-board-and-ingredients-italian-cuisine-tomatoes-chili-garlic-che.html","https://previews.123rf.com/images/irishasel/irishasel1801/irishasel180100333/94262311-uncooked-cannelloni-pasta-on-cutting-board-and-ingredients-italian-cuisine-tomatoes-chili-garlic-che.jpg",1300,867,
"cannelloni uncooked",12,"Free Stock Photo 10474 Dried uncooked ...","https://www.freeimageslive.co.uk/free_stock_image/cannelloni-white-jpg","https://www.freeimageslive.co.uk/image/view/10474/_original",3200,2129,
"cannelloni uncooked",13,"Uncooked cannelloni pasta on cutting ...","https://depositphotos.com/151741426/stock-photo-uncooked-cannelloni-pasta-on-cutting.html","https://st3.depositphotos.com/2208212/15174/i/1600/depositphotos_151741426-stock-photo-uncooked-cannelloni-pasta-on-cutting.jpg",1600,1167,
"cannelloni uncooked",14,"Dried cannelloni pasta - Free Stock Image","https://freefoodphotos.com/imagelibrary/bread/slides/cannelloni_dried.html","https://freefoodphotos.com/imagelibrary/bread/cannelloni_dried.jpg",3500,2329,
"cannelloni uncooked",15,"Uncooked cannelloni pasta on cutting ...","https://www.alamy.com/stock-photo-uncooked-cannelloni-pasta-on-cutting-board-and-ingredients-italian-140584707.html","https://c8.alamy.com/comp/J4M56B/uncooked-cannelloni-pasta-on-cutting-board-and-ingredients-italian-J4M56B.jpg",866,1390,
"cannelloni uncooked",16,"Cannelloni dry uncooked pasta — staple ...","https://focusedcollection.com/157027196/stock-photo-cannelloni-dry-uncooked-pasta.html","https://st.focusedcollection.com/11312302/i/1800/focused_157027196-stock-photo-cannelloni-dry-uncooked-pasta.jpg",1200,1800,
"cannelloni uncooked",17,"Uncooked Cannelloni Pasta On Cutting ...","https://www.dreamstime.com/uncooked-cannelloni-pasta-cutting-board-ingredients-uncooked-cannelloni-pasta-cutting-board-ingredients-italian-image102906217","https://thumbs.dreamstime.com/z/uncooked-cannelloni-pasta-cutting-board-ingredients-uncooked-cannelloni-pasta-cutting-board-ingredients-italian-102906217.jpg",1300,957,
"cannelloni uncooked",18,"Uncooked cannelloni pasta on cutting ...","https://www.freepik.com/premium-photo/uncooked-cannelloni-pasta-cutting-board-ingredients-italian-cuisine_3442680.htm","https://img.freepik.com/free-photo/uncooked-cannelloni-pasta-cutting-board-ingredients-italian-cuisine_73691-66.jpg?size=626&ext=jpg",626,417,
"cannelloni uncooked",19,"Spinach and Ricotta Cannelloni ...","https://www.recipetineats.com/spinach-ricotta-cannelloni/","https://recipetineats.com/wp-content/uploads/2017/09/Spinach-Ricotta-Cannelloni-1-copy-1.jpg",900,1260,
"cannelloni uncooked",20,"Food Ingredients: Uncooked Cannelloni ...","https://www.featurepics.com/online/Uncooked-Pasta-1640534.aspx","https://www.featurepics.com/StockImage/20100822/uncooked-pasta-stock-image-1640534.jpg",1271,1392,
"cannelloni uncooked",21,"Italian Uncooked Cannelloni Pasta Stock ...","https://www.dreamstime.com/italian-uncooked-cannelloni-pasta-tubes-isolated-white-background-image144481207","https://thumbs.dreamstime.com/z/italian-uncooked-cannelloni-pasta-tubes-isolated-white-background-144481207.jpg",1600,1155,
