"search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"fresh lamb white background",1,"Fresh Lamb Meat On A White Background ...","https://www.123rf.com/photo_97785293_fresh-lamb-meat-on-a-white-background-.html","https://previews.123rf.com/images/windnarsil/windnarsil1803/windnarsil180300675/97785293-fresh-lamb-meat-on-a-white-background-.jpg",1300,866,
"fresh lamb white background",2,"Fresh Lamb Meat On A White Background ...","https://www.123rf.com/photo_98387448_fresh-lamb-meat-on-a-white-background-.html","https://previews.123rf.com/images/windnarsil/windnarsil1803/windnarsil180300753/98387448-fresh-lamb-meat-on-a-white-background-.jpg",1300,1300,
"fresh lamb white background",3,"Fresh Lamb Meat On A White Background ...","https://www.123rf.com/photo_97785328_fresh-lamb-meat-on-a-white-background.html","https://previews.123rf.com/images/windnarsil/windnarsil1803/windnarsil180300578/97785328-fresh-lamb-meat-on-a-white-background-.jpg",1300,1039,
"fresh lamb white background",4,"Fresh Lamb Meat On A White Background ...","https://www.123rf.com/photo_99605521_fresh-lamb-meat-on-a-white-background-.html","https://previews.123rf.com/images/windnarsil/windnarsil1804/windnarsil180400169/99605521-fresh-lamb-meat-on-a-white-background-.jpg",1300,1300,
"fresh lamb white background",5,"Fresh Lamb Meat On A White Background ...","https://www.123rf.com/photo_101673472_fresh-lamb-meat-on-a-white-background-.html","https://previews.123rf.com/images/windnarsil/windnarsil1805/windnarsil180500117/101673472-fresh-lamb-meat-on-a-white-background-.jpg",1300,1300,
"fresh lamb white background",6,"Fresh Lamb Meat On A White Background ...","https://www.dreamstime.com/fresh-lamb-meat-white-background-image115563293","https://thumbs.dreamstime.com/z/fresh-lamb-meat-white-background-115563293.jpg",1300,957,
"fresh lamb white background",7,"Fresh Lamb Meat On A White Background ...","https://www.123rf.com/photo_100286255_fresh-lamb-meat-on-a-white-background-.html","https://previews.123rf.com/images/windnarsil/windnarsil1804/windnarsil180400392/100286255-fresh-lamb-meat-on-a-white-background-.jpg",1300,1004,
"fresh lamb white background",8,"Fresh Lamb Meat On A White Background ...","https://www.dreamstime.com/fresh-lamb-meat-white-background-image112479813","https://thumbs.dreamstime.com/z/fresh-lamb-meat-white-background-112479813.jpg",1300,1390,
"fresh lamb white background",9,"Fresh Lamb Meat On A White Background ...","https://www.istockphoto.com/photo/fresh-lamb-meat-on-a-white-background-gm960932800-262400984","https://media.istockphoto.com/photos/fresh-lamb-meat-on-a-white-background-picture-id960932800",1024,1024,
"fresh lamb white background",10,"Closeup Photo Fresh Lamb Chops Meat ...","https://www.shutterstock.com/image-photo/closeup-photo-fresh-lamb-chops-meat-200709926","https://image.shutterstock.com/image-photo/closeup-photo-fresh-lamb-chops-600w-200709926.jpg",600,420,
"fresh lamb white background",11,"Fresh Lamb Chops against White ...","https://www.fotosearch.com/AGE063/ys1-1475005/","https://fscomps.fotosearch.com/compc/AGE/AGE063/fresh-lamb-chops-against-white-stock-photography__ys1-1475005.jpg",450,336,
"fresh lamb white background",12,"FRESH LAMB CHOPS AGAINST WHITE ...","https://www.alamy.com/fresh-lamb-chops-against-white-background-image284324464.html","https://c8.alamy.com/comp/XEG2N4/fresh-lamb-chops-against-white-background-XEG2N4.jpg",1300,1003,
"fresh lamb white background",13,"Fresh Lamb Chops against white ...","https://www.alamy.com/fresh-lamb-chops-against-white-background-image280975918.html","https://c8.alamy.com/comp/X93FJ6/fresh-lamb-chops-against-white-background-X93FJ6.jpg",1300,1003,
"fresh lamb white background",14,"Fresh Lamb Meat On Image & Photo (Free ...","https://www.bigstockphoto.com/image-241432081/stock-photo-fresh-lamb-meat-on-a-white-background","https://static2.bigstockphoto.com/1/4/2/large1500/241432081.jpg",1500,1120,
