"search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"mussels white background",1,"Mussels on white background (1) • Blue ...","https://blueharvest.com.au/products/mussels-on-white-background-1/","https://blueharvest.com.au/wp-content/uploads/2016/04/Mussels-on-white-background-1.jpg",2716,1810,
"mussels white background",2,"Mussels On a White Background Images ...","https://www.shutterstock.com/search/mussels+on+a+white+background","https://image.shutterstock.com/image-photo/fresh-mussel-on-white-background-260nw-388628020.jpg",364,280,
"mussels white background",3,"Mussels Isolated On White Background ...","https://www.123rf.com/photo_34653399_mussels-isolated-on-white-background.html","https://previews.123rf.com/images/carballo/carballo1412/carballo141200493/34653399-mussels-isolated-on-white-background.jpg",1300,866,
"mussels white background",4,"Green mussels on white background ...","https://www.colourbox.com/image/green-mussels-on-white-background-image-3855674","https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX3855674.jpg",800,533,
"mussels white background",5,"Green mussels on white background ...","https://www.colourbox.com/image/green-mussels-on-white-background-image-3855663","https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX3855663.jpg",800,533,
"mussels white background",6,"Mussels on white background. | High ...","https://creativemarket.com/WorldImage/1958331-Mussels-on-white-background.","https://cmkt-image-prd.freetls.fastly.net/0.1.0/ps/3422408/910/607/m2/fpnw/wm1/rmpcamuws2kvijxqkvd1cbuvaozig9fznfjmcazm1cq5nbzqnm6tffvygwunvijc-.jpg?1508231288&s=4467d0b63542acd9b9badd50a3e673f6",1820,1214,
"mussels white background",7,"White Background Stock Photo ...","https://www.123rf.com/photo_55881513_new-zealand-green-mussels-on-white-background.html","https://previews.123rf.com/images/dasuwan/dasuwan1604/dasuwan160400024/55881513-new-zealand-green-mussels-on-white-background.jpg",1300,950,
"mussels white background",8,"Mussels isolated on white background ...","https://www.freepik.com/premium-photo/mussels-isolated-white-background_3452243.htm","https://image.freepik.com/free-photo/mussels-isolated-white-background_47274-106.jpg",626,463,
"mussels white background",9,"White Background | Royalty-Free Stock Image","https://www.shutterstock.com/image-photo/close-on-mussels-white-background-112744504","https://image.shutterstock.com/image-photo/close-on-mussels-white-background-600w-112744504.jpg",600,418,
"mussels white background",10,"White Background. Stock Photo - Image ...","https://www.dreamstime.com/stock-photo-mussels-white-background-boiled-image85412078","https://thumbs.dreamstime.com/z/mussels-white-background-boiled-85412078.jpg",1300,1260,
"mussels white background",11,"Fresh mussels close-up on a white ...","https://elements.envato.com/fresh-mussels-close-up-on-a-white-background-isola-K7RZ92V","https://envato-shoebox-0.imgix.net/ef3f/92bf-ea16-4502-95b6-8e9f3c6b827e/DSC_6514-1.jpg?auto=compress%2Cformat&fit=max&mark=https%3A%2F%2Felements-assets.envato.com%2Fstatic%2Fwatermark2.png&markalign=center%2Cmiddle&markalpha=18&w=700&s=aa4fa6942c1589e5fa1fda0c80fcb170",700,466,
"mussels white background",12,"Mussels on white background. | High ...","https://creativemarket.com/WorldImage/1958322-Mussels-on-white-background.","https://cmkt-image-prd.freetls.fastly.net/0.1.0/ps/3422399/910/576/m2/fpnw/wm1/xwmmpaqc9srlwq8r8vffrgzzmwkrleaezskdz0bumqd3vpm5wsn8w3gc0gsn3pvv-.jpg?1508231222&s=5a03114570b38b89ba83fad5332b96c8",1820,1152,
"mussels white background",13,"Mussels Boiled On A White Background ...","https://www.dreamstime.com/mussels-boiled-white-background-mussels-boiled-white-background-image144574184","https://thumbs.dreamstime.com/b/boiled-green-mussels-shell-white-background-60878925.jpg",800,493,
"mussels white background",14,"mussel on white background Stock Photo ...","https://photodune.net/item/mussel-on-white-background/22231521","https://s3.envato.com/files/249851590/55.jpg",590,377,
"mussels white background",15,"White Background Seafood Stock Photo ...","https://www.123rf.com/photo_95154804_boiled-mussels-on-a-white-background-seafood.html","https://previews.123rf.com/images/vershininphoto/vershininphoto1802/vershininphoto180200382/95154804-boiled-mussels-on-a-white-background-seafood.jpg",1300,866,
"mussels white background",16,"Cooked Mussels On White Background ...","https://www.crushpixel.com/stock-photo/cooked-mussels-on-white-background-697510.html","https://www.crushpixel.com/static11/preview2/cooked-mussels-on-white-background-697510.jpg",500,333,
"mussels white background",17,"Mussels White Background — Stock Photo ...","https://depositphotos.com/274095080/stock-photo-mussels-white-background.html","https://st4.depositphotos.com/1354142/27409/i/1600/depositphotos_274095080-stock-photo-mussels-white-background.jpg",1600,1167,
"mussels white background",18,"Top On A White Background Stock Photo ...","https://www.istockphoto.com/photo/cooked-mussels-shot-from-the-top-on-a-white-background-gm1163282901-319365413","https://media.istockphoto.com/photos/cooked-mussels-shot-from-the-top-on-a-white-background-picture-id1163282901",1024,682,
"mussels white background",19,"Fresh mussel on white background ...","https://www.alamy.com/fresh-mussel-on-white-background-isolated-mussels-image179074138.html","https://c8.alamy.com/comp/MB9ETX/fresh-mussel-on-white-background-isolated-mussels-MB9ETX.jpg",1300,956,
"mussels white background",20,"Fresh Mussels On White Background Stock ...","https://www.dreamstime.com/fresh-mussels-isolated-white-background-fresh-mussels-white-background-image120473363","https://thumbs.dreamstime.com/z/fresh-mussels-isolated-white-background-fresh-mussels-white-background-120473363.jpg",1300,957,
