search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"red pepper",1,"Red Pepper Sauce (Mojo Picon) Recipe","https://www.thespruceeats.com/red-pepper-sauce-recipe-3083522","https://www.thespruceeats.com/thmb/Y13UQFszO0NVt9Ub3cQELlneqcA=/1500x1500/smart/filters:no_upscale()/red-peppers-582e8b6a3df78c6f6a9d2dbb.jpg",1500,1500,
"red pepper",2,"Spicy Red Pepper Jam Recipe - Sweet And ...","https://www.pepperscale.com/spicy-red-pepper-jam/","https://www.pepperscale.com/wp-content/uploads/2019/09/Red-Peppers.jpg",2000,1105,
"red pepper",3,"Red Bell Pepper 1 Lb. - Wholey's Curbside","https://wholeyscurbside.com/red-bell-pepper-1-lb/","https://cdn11.bigcommerce.com/s-q1qpuo8ch5/images/stencil/2048x2048/products/895/520/redpeppers__60009.1555673735.png?c=2",2048,2048,
"red pepper",4,"Ralphs - Red Bell Pepper, 1 ct","https://www.ralphs.com/p/red-bell-pepper/0000000004688","https://www.kroger.com/product/images/medium/front/0000000004688",200,200,
"red pepper",5,"Red Bell Pepper | Hy-Vee Aisles Online ...","https://www.hy-vee.com/grocery/PD2760838/Red-Bell-Pepper","https://0bb8856ba8259ec33e3d-a40599a114f3a4c6d0979c3ffe0b2bf5.ssl.cf2.rackcdn.com/0000000040880_CL_hyvee1_default_large.png",438,600,
"red pepper",6,"Red Bell Pepper - Each : Target","https://www.target.com/p/red-bell-pepper-each/-/A-14919034","https://target.scene7.com/is/image/Target/GUEST_7c2f5da1-86b0-41c7-83a5-a21359f82e6e?wid=488&hei=488&fmt=pjpeg",488,488,
"red pepper",7,"9 Most Popular European Red Peppers ...","https://www.tasteatlas.com/most-popular-red-peppers-in-europe","https://cdn.tasteatlas.com/images/ingredients/cc85f1d4d02e4cab9b9fb125543eb8ec.jpg?w=600&h=450",600,450,
"red pepper",8,"This Washington farmer wants you to ...","https://thecounter.org/washington-organic-red-peppers-cost/","https://thecounter.org/wp-content/uploads/2018/05/organic-red-peppers-cost-washington.jpg",1024,768,
"red pepper",9,"Organic Red Bell Pepper, 1 lb | Whole ...","https://products.wholefoodsmarket.com/product/organic-red-bell-pepper-b45279","https://sage.blob.core.windows.net/media/5b34f624e54acd7021de4922_redbellpepper-1.jpg",2400,2400,
"red pepper",10,"Mucci Farms","https://www.muccifarms.com/produce/rustico-sweet-long-peppers/","https://mucci-production-user-uploads-bucket.s3.amazonaws.com/images/Product-IMG_RusticoPeppers-rev2.original.png",600,380,
