"search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"shrimps white background",1,"Fresh Cooked Shrimp On White Background ...","https://www.123rf.com/photo_104004149_fresh-cooked-shrimp-on-white-background.html","https://previews.123rf.com/images/flyalone/flyalone1806/flyalone180600013/104004149-fresh-cooked-shrimp-on-white-background.jpg",1300,866,
"shrimps white background",2,"Tasty shrimp on white background | Free ...","https://www.freepik.com/free-photo/tasty-shrimp-white-background_951828.htm","https://image.freepik.com/free-photo/tasty-shrimp-white-background_1205-98.jpg?1",625,417,
"shrimps white background",3,"White Background Stock Photo ...","https://www.123rf.com/photo_9550320_some-shrimps-on-a-white-background.html","https://previews.123rf.com/images/nito500/nito5001105/nito500110500198/9550320-some-shrimps-on-a-white-background.jpg",1300,863,
"shrimps white background",4,"white background. | Stock image ...","https://www.colourbox.com/image/shrimp-on-a-white-background-image-4264645","https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX4264645.jpg",800,492,
"shrimps white background",5,"Shrimps. prawns isolated on a white ...","https://www.freepik.com/premium-photo/shrimps-prawns-isolated-white-background-seafood_4659418.htm","https://image.freepik.com/free-photo/shrimps-prawns-isolated-white-background-seafood_62856-4023.jpg",626,592,
"shrimps white background",6,"Shrimps on a white background — Stock ...","https://depositphotos.com/28432633/stock-photo-shrimps-on-a-white-background.html","https://st.depositphotos.com/2524151/2843/i/950/depositphotos_28432633-stock-photo-shrimps-on-a-white-background.jpg",1023,877,
"shrimps white background",7,"Two shrimps on white background | Free ...","https://www.freepik.com/free-photo/two-shrimps-white-background_951829.htm","https://image.freepik.com/free-photo/two-shrimps-white-background_1205-99.jpg?1",625,417,
"shrimps white background",8,"Cooked Shrimps Isolated On White ...","https://www.123rf.com/photo_61885158_cooked-shrimps-isolated-on-white-background-.html","https://previews.123rf.com/images/akepong/akepong1608/akepong160800289/61885158-cooked-shrimps-isolated-on-white-background-.jpg",1300,818,
"shrimps white background",9,"Cooked Shrimps Isolated On White ...","https://www.dreamstime.com/cooked-shrimps-isolated-white-background-cooked-shrimps-white-background-isolated-closeup-market-image109330621","https://thumbs.dreamstime.com/z/cooked-shrimps-isolated-white-background-cooked-shrimps-white-background-isolated-closeup-market-109330621.jpg",1300,1315,
"shrimps white background",10,"Fried Shrimps isolated on white ...","https://photodune.net/item/fried-shrimps-isolated-on-white-background/22205423","https://s3.envato.com/files/249742512/101.jpg",590,417,
"shrimps white background",11,"Tiger shrimps isolated on a white ...","https://www.pinterest.com/pin/795237246679944006/","https://i.pinimg.com/736x/15/c1/0e/15c10e46e501b52d7f5f53a02d600a85.jpg",590,459,
"shrimps white background",12,"Cooked Prawns Or Tiger Shrimps On White ...","https://www.dreamstime.com/cuisine-food-cooked-prawns-tiger-shrimps-isolated-white-background-cooked-prawns-tiger-shrimps-white-background-image120787579","https://thumbs.dreamstime.com/z/cuisine-food-cooked-prawns-tiger-shrimps-isolated-white-background-cooked-prawns-tiger-shrimps-white-background-120787579.jpg",1300,966,
"shrimps white background",13,"One cooked shrimp isolated on white ...","https://www.colourbox.com/image/one-cooked-shrimp-isolated-on-white-background-with-clipping-path-image-1739713","https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX1739713.jpg",800,480,
"shrimps white background",14,"Tiger Shrimps. Prawns With Isolated On ...","https://www.123rf.com/photo_45464411_tiger-shrimps-prawns-with-isolated-on-a-white-background-seafood.html","https://previews.123rf.com/images/bestfotostudio/bestfotostudio1509/bestfotostudio150900150/45464411-tiger-shrimps-prawns-with-isolated-on-a-white-background-seafood.jpg",1300,1184,
"shrimps white background",15,"white background. Cooked Prawns ...","https://www.alamy.com/shrimp-isolated-on-white-background-cooked-prawns-or-tiger-shrimps-seafood-image341043277.html","https://c8.alamy.com/comp/2APRT51/shrimp-isolated-on-white-background-cooked-prawns-or-tiger-shrimps-seafood-2APRT51.jpg",1300,967,
"shrimps white background",16,"Shrimps On White Background Stock Photo ...","https://www.shutterstock.com/image-photo/shrimps-on-white-background-183942086","https://image.shutterstock.com/z/stock-photo-shrimps-on-a-white-background-183942086.jpg",1500,1600,
"shrimps white background",17,"Shrimp Stock Pictures, Royalty-free ...","https://www.gettyimages.com/photos/shrimp","https://media.gettyimages.com/photos/cooked-shrimp-with-full-shell-isolated-on-white-background-picture-id157376365?s=612x612",612,433,
