search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"sweet potatoes",1,"Baked Sweet Potato (How To Bake Sweet ...","https://www.skinnytaste.com/baked-sweet-potato/","https://www.skinnytaste.com/wp-content/uploads/2019/09/Baked-Sweet-Potatoes-5.jpg",550,825,
"sweet potatoes",2,"Best Baked Sweet Potato Recipe - How to ...","https://www.delish.com/cooking/recipe-ideas/recipes/a55377/perfect-baked-sweet-potato-recipe/","https://hips.hearstapps.com/del.h-cdn.co/assets/17/38/1506015991-baked-sweet-potatoes-1.jpg",2500,1667,
"sweet potatoes",3,"Roasted Sweet Potatoes | Chelsea's ...","https://www.chelseasmessyapron.com/roasted-sweet-potatoes/","https://www.chelseasmessyapron.com/wp-content/uploads/2019/02/Roasted-Sweet-Potatoes-1-500x500.jpg",500,500,
"sweet potatoes",4,"PERFECT Instant Pot Sweet Potatoes ...","https://sweetpeasandsaffron.com/instant-pot-sweet-potatoes-for-meal-prep/","https://sweetpeasandsaffron.com/wp-content/uploads/2018/01/Instant-Pot-Sweet-Potatoes-for-Meal-Prep-8-1-500x500.jpg",500,500,
"sweet potatoes",5,"Barbecue sesame sweet potatoes recipe ...","https://www.bbcgoodfood.com/recipes/barbecue-sesame-sweet-potatoes","https://www.bbcgoodfood.com/sites/default/files/styles/push_item/public/guide/hub-image/2017/10/the-health-benefits-of-sweet-potato-hub-image.jpg?itok=jyWy2tCP",196,160,
"sweet potatoes",6,"Authentic Japanese Baked Sweet Potatoes ...","https://www.japancentre.com/en/recipes/1668-japanese-baked-sweet-potato","https://images.japancentre.com/recipes/pics/1668/main/satsumaimo.jpg?1519906326",600,550,
"sweet potatoes",7,"How to Select, Store and Use Sweet Potatoes","https://www.thespruceeats.com/sweet-potato-selection-and-storage-1807817","https://www.thespruceeats.com/thmb/GIekUsYhQDddb5pBvbQ1lCv8btE=/2399x1799/smart/filters:no_upscale()/sweetpotatoes_getty2400-56a4975c5f9b58b7d0d7b790.jpg",2399,1799,
"sweet potatoes",8,"Roasted Sweet Potato Jack-o-Lantern ...","http://www.guavarose.com/2013/10/roasted-sweet-potato-jack-o-lantern-faces-and-ghosts/","http://www.guavarose.com/wp-content/uploads/2013/10/wpid8666-DSC_8879.jpg",2048,1461,
"sweet potatoes",9,"Did you know sweet potatoes are ...","http://www.mountolivetribune.com/stories/its-harvest-season-did-you-know-sweet-potatoes-are-different-from-yams,64016","http://www.mountolivetribune.com/uploads/original/20191007-150254-EDIT_Jessica_Strickland_col_photo.jpg",1125,1500,
"sweet potatoes",10,"Crock Pot Candied Sweet Potatoes Recipe","https://www.thespruceeats.com/crockpot-candied-sweet-potatoes-3056014","https://www.thespruceeats.com/thmb/IzIr_YNNpPdRkdWFX4JST3rB-R0=/3333x3333/smart/filters:no_upscale()/sweet-potato-batata-876197288-5c3e70acc9e77c0001624109.jpg",3333,3333,
"sweet potatoes",11,"Roasted Sweet Potatoes and Fennel ...","https://www.deliciousliving.com/recipe/roasted-sweet-potatoes-and-fennel/","https://d2lhw32459hxui.cloudfront.net/files/uploads/drupal/uploads/2012/10/nksweetpotato.jpg",595,335,
"sweet potatoes",12,"Perfect Roasted Sweet Potatoes Recipe ...","https://cookieandkate.com/roasted-sweet-potatoes-recipe/","https://cookieandkate.com/images/2020/01/sweet-potatoes.jpg",1100,756,
"sweet potatoes",13,"Sweet Potato Nutrition - Health ...","https://www.goodhousekeeping.com/health/diet-nutrition/a48026/sweet-potato-nutrition/","https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/sweet-potato-nutrition-1571079797.jpg?crop=0.631xw:0.763xh;0.367xw,0&resize=480:*",408,493,
"sweet potatoes",14,"Yams and Sweet Potatoes ...","https://www.thekitchn.com/whats-the-difference-between-yams-and-sweet-potatoes-word-of-mouth-211176","https://storage.googleapis.com/gen-atmedia/3/2014/10/8812190bf4f724878a4520f2a60b48ff9d99798e.jpeg",2643,3000,
"sweet potatoes",15,"Rosemary Glazed Sweet Potatoes ...","https://www.bowlofdelicious.com/glazed-sweet-potatoes/","https://www.bowlofdelicious.com/wp-content/uploads/2018/10/Maple-and-Rosemary-Glazed-Sweet-Potatoes-4.jpg",800,1200,
"sweet potatoes",16,"Easy Baked Sweet Potato (How To Bake ...","https://www.momontimeout.com/baked-sweet-potato-how-to-bake-sweet-potatoes/","https://www.momontimeout.com/wp-content/uploads/2019/11/best-baked-sweet-potatoes-titled.jpg",1200,1800,
"sweet potatoes",17,"Sweet potato - Wikipedia","https://en.wikipedia.org/wiki/Sweet_potato","https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Ipomoea_batatas_006.JPG/1200px-Ipomoea_batatas_006.JPG",1200,901,
"sweet potatoes",18,"Double Baked Sweet Potatoes with Bacon ...","https://www.macheesmo.com/double-baked-sweet-potatoes/","https://www.macheesmo.com/wp-content/uploads/2010/10/Double-Baked-Sweet-Potatoes-1.jpg",2500,1736,
"sweet potatoes",19,"How to Roast a Sweet Potato ...","https://minimalistbaker.com/how-to-roast-a-sweet-potato/","https://minimalistbaker.com/wp-content/uploads/2017/06/HEALTHY-Baked-Sweet-Potatoes-2-Ways-Savory-and-sweet-in-just-30-minutes-vegan-glutenfree-sweetpotato-healthy-minimalistbaker-plantbased.jpg",1456,2184,
"sweet potatoes",20,"Spiced Hasselback Sweet Potatoes | Love ...","https://www.loveandoliveoil.com/2019/12/spiced-hasselback-sweet-potatoes.html","https://www.loveandoliveoil.com/wp-content/uploads/2019/12/hasselback-sweet-potatoes-FEAT.jpg",1200,800,
"sweet potatoes",21,"Best Homemade Sweet Potato Fries Recipe ...","https://therecipecritic.com/sweet-potato-fries/","https://therecipecritic.com/wp-content/uploads/2020/01/sweetpotatofries.jpg",1000,1500,
"sweet potatoes",22,"Roasted Sweet Potatoes with Maple ...","https://www.dinneratthezoo.com/roasted-sweet-potatoes/","https://www.dinneratthezoo.com/wp-content/uploads/2018/09/roasted-sweet-potatoes-1.jpg",680,1020,
"sweet potatoes",23,"Sweet Potato Season ...","https://www.rachaelraymag.com/food/sweet-potato-season","https://www.rachaelraymag.com/.image/t_share/MTQ5OTg0MTEzNTE0Nzg0NTM4/pile-sweet-potatoes-103110352.jpg",1199,1200,
"sweet potatoes",24,"Roasted Sweet Potatoes with Honey and ...","https://www.foodnetwork.com/recipes/tyler-florence/roasted-sweet-potatoes-with-honey-butter-recipe-1946538","https://food.fnr.sndimg.com/content/dam/images/food/fullset/2011/8/30/0/cc-armendariz_roasted-sweet-potatoes-with-honey-cinnamon-recipe-02_s4x3.jpg.rend.hgtvcom.826.620.suffix/1384541154741.jpeg",827,620,
"sweet potatoes",25,"Sweet Potatoes: Planting, Growing, and ...","https://www.almanac.com/plant/sweet-potatoes","https://www.almanac.com/sites/default/files/image_nodes/sweet-potatoes_ssbonnietaylorbarry.jpg",1800,1198,
"sweet potatoes",26,"7 Health Benefits of Sweet Potatoes ...","https://www.health.com/nutrition/sweet-potato-health-benefits","https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F12%2F2019%2F08%2Fsweet-potato-healthy-food-gettyimages-953702790-2000.jpg",2000,1333,
"sweet potatoes",27,"Garlic Butter Smashed Sweet Potatoes ...","https://cafedelites.com/garlic-butter-smashed-sweet-potatoes-with-parmesan/","https://cafedelites.com/wp-content/uploads/2019/11/Smashed-Sweet-Potatoes-Roasted-IMAGE-2.jpg",1200,1800,
"sweet potatoes",28,"Healthy Mashed Sweet Potatoes ...","https://feelgoodfoodie.net/recipe/mashed-sweet-potatoes/","https://feelgoodfoodie.net/wp-content/uploads/2019/11/Healthy-Mashed-Sweet-Potatoes-6-1.jpg",616,924,
"sweet potatoes",29,"Benefits of sweet potatoes | Femina.in","https://www.femina.in/wellness/diet/benefits-of-sweet-potatoes-132646.html","https://femina.wwmindia.com/content/2019/aug/sweetpotatoes1566543341.jpg",640,351,
"sweet potatoes",30,"Oven Baked Sweet Potato Fries Recipe ...","https://www.simplyrecipes.com/recipes/oven_baked_sweet_potato_fries/","https://www.simplyrecipes.com/wp-content/uploads/2010/10/sweet-potato-fries-vertical-a-1600.jpg",1600,2111,
"sweet potatoes",31,"Easy Baked Sweet Potatoes - Dinner ...","https://dinnerthendessert.com/baked-sweet-potatoes/","https://dinnerthendessert.com/wp-content/uploads/2018/10/Baked-Sweet-Potatoes.jpg",1372,2058,
"sweet potatoes",32,"Roasted Sweet Potatoes ...","https://www.foodiecrush.com/roasted-sweet-potatoes/","https://www.foodiecrush.com/wp-content/uploads/2020/02/Maple-Roasted-Sweet-Potatoes-foodiecrush.com-010.jpg",1200,1800,
"sweet potatoes",33,"Melting Sweet Potatoes Recipe | Food ...","https://www.foodnetwork.com/recipes/food-network-kitchen/melting-sweet-potatoes-5266436","https://food.fnr.sndimg.com/content/dam/images/food/fullset/2018/7/25/0/FNK_Melting-Sweet-Potatoes-H_s4x3.jpg.rend.hgtvcom.826.620.suffix/1532527788504.jpeg",826,620,
"sweet potatoes",34,"Sweet Potato vs Yam: What is the ...","https://www.spendwithpennies.com/sweet-potato-vs-yam/","https://www.spendwithpennies.com/wp-content/uploads/2020/09/Yams-vs-Sweet-Potatoes-21.jpg",700,1050,
"sweet potatoes",35,"Savory Mashed Sweet Potatoes - Cookie ...","https://cookieandkate.com/savory-mashed-sweet-potatoes/","https://cookieandkate.com/images/2017/12/savory-mashed-sweet-potatoes-recipe-1.jpg",1100,1648,
"sweet potatoes",36,"Roasted Sweet Potatoes with Rosemary Recipe","https://reluctantentertainer.com/roasted-sweet-potatoes-with-rosemary/","https://i2.wp.com/reluctantentertainer.com/wp-content/uploads/2017/10/Roasted-Sweet-Potatoes-with-Rosemary-3.jpg",1400,2097,
"sweet potatoes",37,"How to Bake Sweet Potatoes - Running on ...","https://runningonrealfood.com/bake-sweet-potatoes/","https://i2.wp.com/runningonrealfood.com/wp-content/uploads/2019/12/oven-baked-sweet-potatoes-tutorial-6.jpg",1400,2097,
"sweet potatoes",38,"Baked Sweet Potato - Celebrating Sweets","https://celebratingsweets.com/baked-sweet-potatoes/","https://celebratingsweets.com/wp-content/uploads/2019/01/Baked-Sweet-Potato-2-2.jpg",600,900,
"sweet potatoes",39,"Best Roasted Sweet Potatoes Recipe ...","https://www.delish.com/cooking/a22639681/how-to-roast-sweet-potatoes/","https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/180802-delish-9x13-bookazine-00360-1533324368.jpg",2500,1667,
"sweet potatoes",40,"Oven Roasted Sweet Potatoes - Jessica Gavin","https://www.jessicagavin.com/oven-roasted-sweet-potatoes/","https://www.jessicagavin.com/wp-content/uploads/2019/11/roasted-sweet-potatoes-7-1200.jpg",1199,1199,
"sweet potatoes",41,"8-Minute Sweet Potatoes | Minimalist ...","https://minimalistbaker.com/8-minute-sweet-potatoes/","https://minimalistbaker.com/wp-content/uploads/2019/11/DELICIOUS-8-Minute-Sweet-Potatoes-Cooked-on-the-stovetop-with-a-lid-for-SUPER-quick-tender-potatoes-plantbased-glutenfree-minimalistbaker-sweetpotato-recipe-8.jpg",1456,2113,
"sweet potatoes",42,"Perfect Baked Sweet Potatoes","https://thestayathomechef.com/baked-sweet-potatoes/","https://thestayathomechef.com/wp-content/uploads/2014/05/Baked-Sweet-Potatoes-10.jpg",800,1200,
"sweet potatoes",43,"Mashed Sweet Potatoes - Dinner at the Zoo","https://www.dinneratthezoo.com/mashed-sweet-potatoes/","https://www.dinneratthezoo.com/wp-content/uploads/2018/10/mashed-sweet-potatoes-4.jpg",680,1020,
"sweet potatoes",44,"Air Fryer Sweet Potatoes - Foody ...","http://foodyschmoodyblog.com/air-fryer-sweet-potatoes/","http://foodyschmoodyblog.com/wp-content/uploads/2019/03/sweet-potato-cubes-1.jpg",650,433,
"sweet potatoes",45,"Mashed Sweet Potatoes - Spend With Pennies","https://www.spendwithpennies.com/mashed-sweet-potatoes/","https://www.spendwithpennies.com/wp-content/uploads/2019/10/NPin-SWP-Mashed-Sweet-Potatoes.jpg",600,900,
"sweet potatoes",46,"Simple Roasted Sweet Potatoes - Healthy Liv","https://www.healthy-liv.com/simple-roasted-sweet-potatoes/","https://www.healthy-liv.com/wp-content/uploads/2015/04/IMG_3205.jpg",1024,1444,
"sweet potatoes",47,"Instant Pot Sweet Potatoes | Small ...","https://onedishkitchen.com/instant-pot-sweet-potatoes-recipe/","https://cdn.shortpixel.ai/client/q_glossy,ret_img,w_600/https://onedishkitchen.com/wp-content/uploads/2019/10/instant-pot-sweet-potatoes-pin-1.jpg",600,1200,
"sweet potatoes",48,"Duchess Sweet Potatoes - A Family Feast","https://www.afamilyfeast.com/duchess-sweet-potatoes/","https://www.afamilyfeast.com/wp-content/uploads/2013/02/Duchess-Sweet-Potatoes-1.jpg",800,1200,
"sweet potatoes",49,"Easy, Roasted Sweet Potatoes ...","https://meaningfuleats.com/easy-roasted-sweet-potato-medallions-paleo/","https://meaningfuleats.com/wp-content/uploads/2014/01/IMG_3533.jpg",1980,1980,
"sweet potatoes",50,"Roasted Smoked Sweet Potatoes Recipe ...","https://healthyfitnessmeals.com/roasted-smoked-sweet-potatoes/","https://healthyfitnessmeals.com/wp-content/uploads/2018/10/Roasted-sweet-potato-4.jpg",1080,1080,
"sweet potatoes",51,"Roasted Sweet Potatoes | Creme De La Crumb","https://www.lecremedelacrumb.com/roasted-sweet-potatoes/","https://www.lecremedelacrumb.com/wp-content/uploads/2019/12/roasted-sweet-potatoes-1sm-2.jpg",1200,1800,
"sweet potatoes",52,"Bourbon Mashed Sweet Potatoes ...","https://www.simplyrecipes.com/recipes/bourbon_mashed_sweet_potatoes/","https://www.simplyrecipes.com/wp-content/uploads/2018/12/bourbon-mashed-sweet-potatoes-vertical-a-1400.jpg",1400,1812,
"sweet potatoes",53,"Parmesan Herb Roasted Sweet Potatoes ...","https://www.pumpkinnspice.com/roasted-parmesan-herb-sweet-potatoes/","https://www.pumpkinnspice.com/wp-content/uploads/2019/06/Parm-herb-sweet-potatoes-1.jpg",800,1499,
"sweet potatoes",54,"Twice-Baked Sweet Potatoes | Recipes ...","https://barefootcontessa.com/recipes/twice-baked-sweet-potatoes","https://d213sdapb08052.cloudfront.net/assets/recipes/twice-baked-sweet-potatoes/_entryTopPhotoMobile/181-web-horizon.jpg?mtime=20160815132623",640,640,
