search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"zucchini raw white background stock",1,"front of white background Stock Photo ...","https://www.alamy.com/stock-photo-green-raw-zucchini-in-front-of-white-background-82100908.html","https://c8.alamy.com/comp/ENG0F8/green-raw-zucchini-in-front-of-white-background-ENG0F8.jpg",1300,956,
"zucchini raw white background stock",2,"green, raw zucchini in front of white ...","https://www.alamy.com/stock-photo-green-raw-zucchini-in-front-of-white-background-82100914.html","https://c8.alamy.com/comp/ENG0FE/green-raw-zucchini-in-front-of-white-background-ENG0FE.jpg",1300,956,
"zucchini raw white background stock",3,"Green Zucchini One Long Raw Courgette ...","https://www.123rf.com/photo_95429361_green-zucchini-one-long-raw-courgette-isolated-on-white-background.html","https://previews.123rf.com/images/katerynabibro/katerynabibro1802/katerynabibro180200437/95429361-green-zucchini-one-long-raw-courgette-isolated-on-white-background.jpg",1300,786,
"zucchini raw white background stock",4,"white background two raw courgette ...","https://www.alamy.com/green-zucchini-isolated-on-white-background-two-raw-courgette-image212610490.html","https://c8.alamy.com/comp/P9W6RP/green-zucchini-isolated-on-white-background-two-raw-courgette-P9W6RP.jpg",1300,1033,
"zucchini raw white background stock",5,"Three Green Zucchini Isolated On White ...","https://www.123rf.com/photo_95429383_three-green-zucchini-isolated-on-white-background-long-raw-courgette.html","https://previews.123rf.com/images/katerynabibro/katerynabibro1802/katerynabibro180200460/95429383-three-green-zucchini-isolated-on-white-background-long-raw-courgette.jpg",1300,889,
"zucchini raw white background stock",6,"Raw Ripe Zucchini Isolated On White ...","https://www.istockphoto.com/in/photo/raw-ripe-zucchini-isolated-on-white-background-gm949520586-259203856","https://media.istockphoto.com/photos/raw-ripe-zucchini-isolated-on-white-background-picture-id949520586",1024,510,
"zucchini raw white background stock",7,"A closeup shot of raw zucchini with ...","https://www.alamy.com/a-closeup-shot-of-raw-zucchini-with-white-background-image341406060.html","https://c8.alamy.com/comp/2ARCAWG/a-closeup-shot-of-raw-zucchini-with-white-background-2ARCAWG.jpg",1300,957,
"zucchini raw white background stock",8,"Two Green Zucchini With One Sliced Half ...","https://www.123rf.com/photo_95429388_two-green-zucchini-with-one-sliced-half-isolated-on-white-background-long-raw-courgettes.html","https://previews.123rf.com/images/katerynabibro/katerynabibro1802/katerynabibro180200465/95429388-two-green-zucchini-with-one-sliced-half-isolated-on-white-background-long-raw-courgettes.jpg",1300,800,
"zucchini raw white background stock",9,"Green Zucchini One Sliced Half Three ...","https://www.shutterstock.com/image-photo/green-zucchini-one-sliced-half-three-1024129834","https://image.shutterstock.com/image-photo/green-zucchini-one-sliced-half-600w-1024129834.jpg",600,462,
"zucchini raw white background stock",10,"Green Zucchini Isolated White ...","https://depositphotos.com/184027316/stock-photo-green-zucchini-isolated-white-background.html","https://st3.depositphotos.com/14836424/18402/i/1600/depositphotos_184027316-stock-photo-green-zucchini-isolated-white-background.jpg",1600,1091,
"zucchini raw white background stock",11,"Raw Zucchini Pasta On White Background ...","https://www.shutterstock.com/image-photo/raw-zucchini-pasta-on-white-background-554693485","https://image.shutterstock.com/image-photo/raw-zucchini-pasta-on-white-600w-554693485.jpg",600,420,
"zucchini raw white background stock",12,"Slices Stack Raw Courgette Round ...","https://www.123rf.com/photo_95429364_one-green-zucchini-and-five-slices-stack-raw-courgette-round-pieces-isolated-on-white-background.html","https://previews.123rf.com/images/katerynabibro/katerynabibro1802/katerynabibro180200440/95429364-one-green-zucchini-and-five-slices-stack-raw-courgette-round-pieces-isolated-on-white-background.jpg",1300,790,
